AFD,LINKE,SPD,GRUENE,FDP,CDU,CSU
Alice_Weidel,SWagenknecht,Karl_Lauterbach,cem_oezdemir,c_lindner,jensspahn,Markus_Soeder
Joerg_Meuthen,GregorGysi,HeikoMaas,GoeringEckardt,MaStrackZi,ArminLaschet,DoroBaer
Beatrix_vStorch,katjakipping,OlafScholz,JTrittin,MarcoBuschmann,_FriedrichMerz,andreasscheuer
gottfriedcurio,DietmarBartsch,KuehniKev,KonstantinNotz,KonstantinKuhle,JuliaKloeckner,ManfredWeber
MalteKaufmann,anked,larsklingbeil,RenateKuenast,johannesvogel,n_roettgen,DerLenzMdB
JoanaCotar,b_riexinger,hubertus_heil,Ricarda_Lang,Wissing,PaulZiemiak,hahnflo
Tino_Chrupalla,jankortemdb,EskenSaskia,KathaSchulze,Lambsdorff,groehe,smuellermdb
StBrandner,Janine_Wissler,Ralf_Stegner,BriHasselmann,ria_schroeder,HBraun,DaniLudwigMdB
GtzFrmming,SevimDagdelen,KarambaDiaby,nouripour,LindaTeuteberg,rbrinkhaus,ANiebler
PetrBystronAFD,SusanneHennig,MiRo_SPD,MiKellner,f_schaeffler,tj_tweets,MarkusFerber
