,id,source_account,source_party,tweet,sentiment
0,1459496838629839104,Beatrix_vStorch,AFD,"@LisaLies12 @Beatrix_vStorch Ich habe NICHT behauptet, dass es KEINEN Muslimischen Antisemitismus gibt! Doch in D gibt es seit sehr vielen Jahren verwurzelt in Rechtsnationalen Kreisen eine tiefen AS. Siehe 3. Reich und lange davor. Nur das verleugnet die AfD, als Vogelschiss in der Geschichte Ds! Tatsache!",NEGATIVE
1,1366816957236977920,cducsubt,CDU_CSU,@ChristianHirte @CDU @dieLinke @cducsubt Gewiss keine CxU. I🥳🤡,NEUTRAL
2,1437742901186993920,_FriedrichMerz,CDU_CSU,@PeterBofinger @_FriedrichMerz @handelsblatt @_FriedrichMerz  da war doch was mit Wirtschaft........ 🤔? Ach ja ....... Bierdeckel🍻 😉,NEUTRAL
3,1352576248560706048,SWagenknecht,LINKE,@KunzlerManuel @DnielSchmlhofer @Stefan_Hajek @SWagenknecht Chemieunterricht? Ich dachte der ist seit 30 Jahren generell abgeschafft und verboten! Genau wie der Kontakt zu allen chemischen Stoffen!!!! (zumindest wirkt ein relevanter Teil der Menschen in unserer Gesellschaft so).,NEUTRAL
4,1439569370217340928,Alice_Weidel,AFD,@cem_oezdemir @ABaerbock Dachte erst Sie meinen @Alice_Weidel .,NEUTRAL
5,1455922935135358976,fdp,FDP,"@it_is_me_thomas @MeinAugenlicht @Die_Gruenen naja, mit dem HartzIV regime,  der Riesterente, Steuersenkungen und - abschaffungen für die Reichsten haben die @Die_Gruenen die @FDP neoliberal locker überholt.",NEGATIVE
6,1446840528268632064,Karl_Lauterbach,SPD,@Karl_Lauterbach @JanJosefLiefers Mit mir wird Karl Lauterbach kein Gesundheitsminister!,NEUTRAL
7,1347612879810425088,n_roettgen,CDU_CSU,@n_roettgen auch mit Blick auf andere Aspekte des Umweltschutzes wie zum Beispiel Artensterben.  Sehr starker Auftritt von Röttgen. #CDUVorsitz #Roettgen,POSITIVE
8,1464273119225520128,Karl_Lauterbach,SPD,"@Karl_Lauterbach Warum soll man sich dann jetzt boostern, wenn man noch nicht weiß, ob es wirkt ?",NEUTRAL
9,1350422600888025088,Linksfraktion,LINKE,Die @Linksfraktion im Bundestag hatte vergangenen Donnerstag eine grosse Anfrage zu antimuslimischem Rassismus in Deutschland gemacht.  @ch_buchholz hält hierzu eine pointierte Rede:   https://t.co/xsuA8UZUH9  #noAfD,NEUTRAL
10,1471842111062429952,_FriedrichMerz,CDU_CSU,@ToshimaDE @CDU @_FriedrichMerz Wie? Sitzt die @CDU jetzt ganz rechts? Dann sitzt die @fdp ja wieder neben der @AfD. Geschickt gemacht CDU!,POSITIVE
11,1473340749253160960,MarcoBuschmann,FDP,"Ein beachtlicher Teil der Gesellschaft wird von der Polizei verfolgt, ohne Schädigung Dritter. @MarcoBuschmann   #EntkriminalisierungSofort",NEUTRAL
12,1470092180958109952,n_roettgen,CDU_CSU,"@baldrian12 @AnneWillTalk @annewill @Karl_Lauterbach @GoeringEckardt @n_roettgen @merkel_wolfgang @rosidaggi @DasErste Kann ja jeder machen, wo ist das Problem ?",NEUTRAL
13,1371595005706564096,dieLinke,LINKE,"@Eva0112 @dieLinke @IGMetall Tarif entsprechend der Produktivität und den Lebenshaltungskosten vorort. An vorderster Front die Kosten des Wohnens kein Vergleich z.B. zu Stuttgart, Düsseldorf usw.",NEUTRAL
14,1390196337745056000,JoanaCotar,AFD,"@SaschaBo70 @JoanaCotar Deutschland muss ""alles rein"" lassen, weil durch den demographischen Wandel kaum junge Leute in diesem Land leben, ergo wir brauchen Einwanderer die später meine und deine Rente bezahlen.",NEUTRAL
15,1466691147338863104,c_lindner,FDP,"@Eff_Ka @ben_brechtken @c_lindner @christianduerr @fdpbt @johannesvogel Sie sagen 2 Impfungen sind gut erprobt. Auch 3. Da stimme ich zu. Aber es geht mir ja darum, dass wir unserem Körper alle 6 Monate auf unbestimmte Zeit immer und immer wieder den gleichen Bauplan eines Virus „zeigen“. Und da mache ich mir halt Sorgen. Völlig unbegründet?",NEGATIVE
16,1453299839316499968,AfDimBundestag,AFD,"@SchallHeinrich @AfDimBundestag @KaufmannAfD @Alice_Weidel na wenn das ihre einzige Kritik ist, is ja alles knorke. 🥱",NEUTRAL
17,1442207219844592128,OlafScholz,SPD,"@simbosan Nope, @OlafScholz muss sich entscheiden, ob er den Auftrag, was zu ändern, annimmt und die Union auf die Bank schickt, oder ob er sich für weiter so wie bisher entscheidet und die SPD beim nächsten Mal endgültig weg vom Fenster ist. Die SPD-Zugewinne waren eindeutig pro Wechsel!",NEGATIVE
18,1438528342261580032,dieLinke,LINKE,"@dieLinke In dem Wissen, dass man bei der Wahl eh nichts erreicht und somit nichts von dem umsetzen kann, was hier aufgelistet ist, kann man natürlich alles fordern/versprechen 🤣",NEGATIVE
19,1390305016808828928,AfDimBundestag,AFD,"@PDominke @AfDimBundestag Pauschale Verunglimpfung ist ein beliebtes Hobby, also kein Grund zur Sorge. Es gab zu allen Zeiten Gruppen, auf die man eingehackt hat im Gefühl der trauten Gemeinsamkeit der rechthaberischen Mehrheit. Ihnen fiel ja auch nichts Anderes zum Thema ein.",NEGATIVE
20,1410558320893627904,Lambsdorff,FDP,@Lambsdorff @MiKellner @ABaerbock Der zweite Absatz ist auch fragwürdig. Kann @Oliver_Krischer das belegen ?,NEGATIVE
21,1360539345694978048,Markus_Soeder,CDU_CSU,@Glogi6 @ClausStrunz @Die_Gruenen @cducsubt @CDU @CSU @ToniHofreiter @ArminLaschet @Markus_Soeder @ABaerbock Weil sie es nicht können😂😂😂,NEGATIVE
22,1448221670142009088,jensspahn,CDU_CSU,"@AcastusPrivat @MarkusS92980898 @jensspahn Bei Kindern spielt Corona keine Rolle. Zudem ist bei den 12-17 Jährigen die Impfkamagne fertig. Die Erstimpfungsquote bewegt sich kaum noch bei denen. Jeder hatte sein Angebot. Damit ist Corona fertig. Du bist ein Kinderhasser, weil du immer weiter machst mit dem Corona Wahnsinn.",NEGATIVE
23,1442444333333061888,CDU,CDU_CSU,@HHawkeye24 @Boesmensch60488 @CDU Verantwortung? Was ist das?,NEUTRAL
24,1446859711547064064,Karl_Lauterbach,SPD,@Karl_Lauterbach @JanJosefLiefers Prof Lauterbach vs Prof Boerne,NEUTRAL
25,1411032162929872896,ArminLaschet,CDU_CSU,@steps0815 @Arndt_Klocke @MaAhl5 @Oliver_Krischer @ArminLaschet @HendrikWuest @CDUNRW_Fraktion @landnrw @MonaNeubaur @schaeffer_nrw @BriHasselmann @gruenenrw @GrueneFrakNRW @diegruenen Und ja die würde zum einen den LKW Verkehr verringern und zum anderen das Pendeln nach Ludwigshafen und Manheim vereinfachen,POSITIVE
26,1409527100898524928,fdp,FDP,"@c_lindner @gruenen @fdp Finde es wichtig, dass man bei sich selbst nach Fakten sucht.",NEUTRAL
27,1456792471254482944,c_lindner,FDP,@TobiasK87508316 @o_jthe @c_lindner Vielleicht dann doch ein Lockdown für die Risikogruppen?,NEUTRAL
28,1439700570927943936,spdde,SPD,"@Delbertalexan10 @cosmopolitan_jw @BetMueller @OlafScholz @spdde Genau diese Posts, diese geistige Brandstiftung führt zu Halle, Hanau, oder dem Lübke morgen. Hören Sie auf mit Ihrer Hetze",NEGATIVE
29,1380099428153954048,Markus_Soeder,CDU_CSU,"@MarioWettlaufer @Markus_Soeder Weil die Kinder nicht gefährdet, noch einf Gefahr für andere sind:",NEUTRAL
30,1471836181990158080,_FriedrichMerz,CDU_CSU,Der neue #CDUVorsitz also @_FriedrichMerz - das ist jetzt schon mehr als 30 Minuten bekannt und @MickyBeisenherz bis dato noch ohne Statement. Bin enttäuscht. Filterkaffee schon alle heute? ;),NEGATIVE
31,1442539146816499968,CDU,CDU_CSU,"MUSS MAN SICH WIRKLICH MAL AUF DER ZUNGE ZERGEHEN LASSEN: EKLIGER SCHLEIMSCHEISSER ÄTZT IM WAHLKAMPF GEGEN ALLES UND JEDEN - UND VERSUCHT JETZT, NACHDEM ER VERLOREN HAT, SICH EINZUSCHLEIMEN. DAS IST FUCKING ERBÄRMLICH. @ArminLaschet #niewiederCDU @CDU  https://t.co/tNC0gxpQcG",NEGATIVE
32,1432400536498810880,CDU,CDU_CSU,@CDU Was für ein Unsinn.,NEGATIVE
33,1345745011997102080,CDU,CDU_CSU,"@MatthiasHauer @WerteUnion Das mag zwar sein, doch dafür greift mir der Bundesvorstand der @CDU (@akk, @PaulZiemiak) und auch der Parteivorstand der @CSU m.E. nicht hart genug gegen diesen widerwärtigen braunen Abschaum durch. Lippenbekenntnisse reichen da nicht, es muss gehandelt werden.",NEGATIVE
34,1382766358790868992,Karl_Lauterbach,SPD,@Karl_Lauterbach Ach na endlich!! Da kann ich doch mal wieder etwas von ihnen retweeten. 🙂👍🙄,POSITIVE
35,1432256458918440960,CDU,CDU_CSU,"@marcfriedrich7 @CDU @spdde @EskenSaskia @RegSprecher @diegruenen Twitter nicht zu viel, ansonsten kauft bald keiner mehr deine Bücher 🤣🤣",NEGATIVE
36,1437547905804538112,dieLinke,LINKE,@awkahl @pkbrln @ben_brechtken @larsklingbeil @OlafScholz @dieLinke 🤔 bei der Linkspartei sitzt HEUTE noch im Ältestenrat Hans Modrow 🤗 Die Rechtsnachfolge wurde ja auch gerichtlich von den Linken erkämpft 🤷,NEUTRAL
37,1360499036105675008,Markus_Soeder,CDU_CSU,"@Markus_Soeder Nix von dem was du tust ist in irgendeiner Weise legitimiert #Södolf außer man nimmt die die ""#Demokratie"" der DDR als Vorbild. Deine ""Werte"" sind nix wert, weil sie völlig willkürlich und nichts über irgendetwas Aussagen.R-Wert? Verdopplungszeit?Jetzt Inzidenz? Schmierentheater!",NEGATIVE
38,1431271604672160000,spdde,SPD,@MMango66 @susigroh1 @MM33842521 @Goldammerfeder @systemanalysen @Karl_Lauterbach @CDU @spdde @fdp @Die_Gruenen @maybritillner @maischberger @c_drosten @rki_de Ich habe lediglich die falsche Aussage von @susigroh1 richtiggestellt.,NEUTRAL
39,1412853633796952064,larsklingbeil,SPD,"@HNeumannMEP @FESonline @larsklingbeil @KASonline @peteraltmaier Genau! Wer da sagt „so what?“, der ist Teil des Problems!",NEGATIVE
