account_name,month,random day 1,random day 2
Alice_Weidel,1,2021-01-13,2021-01-25
Alice_Weidel,2,2021-02-14,2021-02-02
Alice_Weidel,3,2021-03-09,2021-03-31
Alice_Weidel,4,2021-04-17,2021-04-16
Alice_Weidel,5,2021-05-13,2021-05-30
Alice_Weidel,6,2021-06-26,2021-06-27
Alice_Weidel,7,2021-07-10,2021-07-31
Alice_Weidel,8,2021-08-16,2021-08-12
Alice_Weidel,9,2021-09-19,2021-09-29
Alice_Weidel,10,2021-10-30,2021-10-07
Alice_Weidel,11,2021-11-17,2021-11-05
Alice_Weidel,12,2021-12-10,2021-12-05
Joerg_Meuthen,1,2021-01-25,2021-01-04
Joerg_Meuthen,2,2021-02-20,2021-02-26
Joerg_Meuthen,3,2021-03-09,2021-03-30
Joerg_Meuthen,4,2021-04-18,2021-04-23
Joerg_Meuthen,5,2021-05-26,2021-05-20
Joerg_Meuthen,6,2021-06-29,2021-06-05
Joerg_Meuthen,7,2021-07-10,2021-07-04
Joerg_Meuthen,8,2021-08-24,2021-08-03
Joerg_Meuthen,9,2021-09-29,2021-09-28
Joerg_Meuthen,10,2021-10-22,2021-10-11
Joerg_Meuthen,11,2021-11-16,2021-11-18
Joerg_Meuthen,12,2021-12-04,2021-12-12
Beatrix_vStorch,1,2021-01-14,2021-01-11
Beatrix_vStorch,2,2021-02-20,2021-02-21
Beatrix_vStorch,3,2021-03-30,2021-03-07
Beatrix_vStorch,4,2021-04-18,2021-04-16
Beatrix_vStorch,5,2021-05-15,2021-05-28
Beatrix_vStorch,6,2021-06-17,2021-06-09
Beatrix_vStorch,7,2021-07-02,2021-07-26
Beatrix_vStorch,8,2021-08-30,2021-08-18
Beatrix_vStorch,9,2021-09-30,2021-09-01
Beatrix_vStorch,10,2021-10-03,2021-10-24
Beatrix_vStorch,11,2021-11-27,2021-11-13
Beatrix_vStorch,12,2021-12-23,2021-12-27
gottfriedcurio,1,2021-01-26,2021-01-22
gottfriedcurio,2,2021-02-21,2021-02-01
gottfriedcurio,3,2021-03-20,2021-03-16
gottfriedcurio,4,2021-04-27,2021-04-28
gottfriedcurio,5,2021-05-11,2021-05-08
gottfriedcurio,6,2021-06-24,2021-06-11
gottfriedcurio,7,2021-07-23,2021-07-28
