,word,count
0,dafür,61109
1,partei,53597
2,sehen,46568
3,gute,31172
4,viele,28415
5,steht,27982
6,eigentlich,24760
7,problem,24643
8,lange,24269
9,afd,23834
10,land,21797
11,nein,21589
12,müssen,21379
13,laschet,19748
14,halt,19314
15,gut,18421
16,grünen,17942
17,zeit,17224
18,leben,16907
19,weiß,16312
20,lieber,16205
21,vielleicht,15841
22,weniger,15536
23,recht,14902
24,ganz,14712
25,herr,14675
26,nie,14376
27,regierung,14192
28,kinder,14165
29,beim,13990
30,btw,13788
31,impfung,13648
32,sagen,13639
33,klar,13419
34,sicher,13274
35,warum,12812
36,wählen,12769
37,spd,12644
38,merkel,12420
39,erst,12087
40,ab,11945
41,lassen,11542
42,politik,11539
43,kommt,11470
44,genau,11330
45,ja,11287
46,gemacht,11281
47,wirklich,11228
48,covid,11190
49,wer,10941
50,deutschland,10907
51,corona,10871
52,leider,10783
53,gehen,10703
54,amp,10649
55,gerade,10362
56,geht,10309
57,frau,10257
58,pandemie,10253
59,leute,10253
60,wohl,10183
61,danke,9888
62,union,9684
63,lauterbach,9601
64,frage,9529
65,impfen,9464
66,geld,9350
67,macht,9292
68,einfach,9270
69,jahre,9226
70,besser,9033
71,natürlich,9022
72,wurde,9008
73,jahren,8774
74,sagt,8541
75,zahlen,8434
76,gar,8409
77,richtig,8228
78,darf,8210
79,sollten,8117
80,fdp,8114
81,wissen,7951
82,schon,7931
83,seit,7910
84,eher,7836
85,immer,7740
86,wäre,7729
87,politiker,7608
88,davon,7589
89,endlich,7565
90,geben,7541
91,bitte,7523
92,wahl,7435
93,menschen,7134
94,hätte,7102
95,cdu,7037
96,kommen,7010
97,tun,6998
98,gibt,6947
99,mal,6908
