,word,count
0,union,33866
1,wirklich,33319
2,afd,28820
3,jahre,21900
4,ja,19787
5,lauterbach,18277
6,seit,16146
7,leider,15791
8,halt,15678
9,steht,15588
10,habt,14390
11,nein,13805
12,macht,12815
13,recht,12811
14,wohl,12349
15,impfung,11797
16,herr,11642
17,land,11264
18,lassen,10665
19,hätte,10257
20,geben,10211
21,mal,10109
22,gut,10040
23,partei,10035
24,eigentlich,9944
25,sollten,9587
26,genau,9528
27,gar,9521
28,immer,9484
29,fdp,9193
30,schon,9090
31,merkel,8852
32,politik,8814
33,wurde,8710
34,jahren,8629
35,frau,8422
36,tun,8375
37,weiß,8178
38,spd,8134
39,gemacht,7674
40,wäre,7509
41,seid,7361
42,regierung,7315
43,sagen,7255
44,pandemie,7226
45,geld,7200
46,ab,7140
47,nie,7134
48,gerade,7026
49,sagt,6951
50,nix,6926
51,viele,6845
52,grünen,6843
53,kommen,6746
54,politiker,6694
55,menschen,6660
56,dafür,6652
57,geht,6442
58,eher,6253
59,leben,6233
60,warum,6104
61,vielleicht,6061
62,besser,6034
63,kommt,6033
64,kinder,6009
65,wissen,5945
66,wählen,5932
67,gehen,5930
68,ganz,5857
69,egal,5849
70,corona,5748
71,einfach,5727
72,sehen,5703
73,amp,5407
74,problem,5363
75,cdu,5303
76,lange,5301
77,gibt,5268
78,wer,5198
79,deutschland,4981
80,impfen,4960
81,erst,4888
82,zeit,4844
83,müssen,4801
84,wegen,4776
85,wahl,4772
86,csu,4770
87,darf,4766
88,bitte,4673
89,frage,4672
90,wähler,4574
91,endlich,4573
92,natürlich,4558
93,sicher,4539
94,richtig,4528
95,leute,4509
96,falsch,4471
97,klar,4421
98,lieber,4410
99,laschet,4374
