,word,count
0,gibt,2874
1,hätte,2742
2,kommen,2463
3,politiker,1911
4,ja,1820
5,corona,1550
6,jahr,1463
7,warum,1415
8,angst,1338
9,leider,1311
10,vielleicht,1285
11,zahlen,1266
12,egal,1212
13,inzidenz,1191
14,geht,1164
15,gerade,1146
16,regierung,1130
17,menschen,1056
18,land,1049
19,sagt,970
20,gehen,960
21,darf,955
22,herr,940
23,einfach,936
24,zeit,918
25,halt,900
26,macht,859
27,wegen,857
28,wurde,852
29,spd,831
30,sagen,815
31,union,799
32,covid,799
33,dafür,780
34,merkel,761
35,endlich,749
36,lauterbach,740
37,lange,739
38,gar,718
39,politik,713
40,wochen,707
41,kommt,703
42,mal,685
43,ab,666
44,wohl,661
45,immer,661
46,maßnahmen,647
47,leben,645
48,partei,633
49,habt,632
50,schon,630
51,seit,628
52,cdu,616
53,tun,604
54,ganz,603
55,lockdown,596
56,amp,595
57,pandemie,594
58,richtig,589
59,wissen,586
60,frage,583
61,sollten,575
62,sehen,575
63,lieber,573
64,klar,562
65,gut,559
66,schulen,548
67,frau,545
68,afd,544
69,problem,536
70,genau,517
71,wählen,516
72,deutschland,513
73,besser,512
74,müssen,508
75,fdp,508
76,laschet,505
77,gemacht,498
78,wirklich,497
79,viele,493
80,falsch,489
81,lassen,487
82,wäre,485
83,söder,484
84,nein,478
85,recht,468
86,leute,467
87,erst,452
88,csu,447
89,bitte,437
90,nie,432
91,eigentlich,426
92,jahre,418
93,jahren,416
94,bürger,414
95,kinder,410
96,eltern,409
97,wer,387
98,grünen,385
99,sterben,383
