,word,count
0,gemacht,3472
1,seit,3208
2,einfach,2956
3,btw,2834
4,fdp,1929
5,jahren,1925
6,hast,1763
7,leider,1637
8,politik,1579
9,frage,1558
10,wähler,1516
11,lieber,1432
12,echt,1341
13,merkel,1315
14,ab,1298
15,wohl,1255
16,regierung,1188
17,davon,1174
18,spd,1139
19,kommen,1080
20,eher,1014
21,genau,1010
22,seid,951
23,hätte,923
24,peinlich,920
25,müssen,916
26,geht,899
27,wahl,893
28,gar,890
29,problem,866
30,wissen,860
31,vielleicht,855
32,macht,845
33,parteien,836
34,land,835
35,wäre,832
36,leute,829
37,leben,798
38,nix,791
39,erst,791
40,deutschland,788
41,gibt,769
42,viele,762
43,richtig,757
44,besser,752
45,ja,750
46,warum,736
47,halt,729
48,dafür,729
49,immer,724
50,wegen,704
51,eigenen,700
52,weiß,696
53,afghanistan,688
54,mal,678
55,nie,666
56,wirklich,663
57,cdu,654
58,klar,651
59,sagt,634
60,endlich,631
61,egal,631
62,habt,629
63,kommt,622
64,impfung,592
65,bitte,588
66,jahre,586
67,laschet,585
68,gerade,577
69,zeit,577
70,eigentlich,572
71,union,571
72,wahlkampf,571
73,geld,570
74,herr,568
75,corona,551
76,csu,551
77,steht,542
78,recht,533
79,frau,524
80,scholz,513
81,letzten,511
82,nein,509
83,kinder,508
84,politiker,507
85,partei,504
86,schon,504
87,tun,500
88,gut,498
89,wer,496
90,sagen,491
91,menschen,486
92,gehen,481
93,lassen,478
94,wählen,470
95,grünen,468
96,afd,467
97,ganz,464
98,wurde,460
99,amp,459
