,word,count
0,dafür,3060
1,sollten,2949
2,immer,2742
3,genau,1921
4,kinder,1890
5,menschen,1443
6,spd,1359
7,vielleicht,1348
8,seit,1345
9,ja,1297
10,wissen,1275
11,gerade,1198
12,seid,1182
13,zahlen,1103
14,jahren,1070
15,tun,1029
16,problem,987
17,lieber,979
18,eigentlich,958
19,gemacht,948
20,gar,933
21,fdp,928
22,endlich,918
23,wähler,899
24,macht,894
25,deutschland,890
26,frau,862
27,kommt,838
28,leute,831
29,wäre,818
30,wahl,812
31,grünen,757
32,nie,749
33,egal,748
34,regierung,740
35,müssen,733
36,ampel,723
37,impfpflicht,721
38,wirklich,714
39,meinung,711
40,freiheit,710
41,geht,700
42,falsch,697
43,wurde,693
44,ab,674
45,nein,673
46,kommen,671
47,cdu,669
48,lauterbach,660
49,viele,657
50,klar,645
51,omikron,607
52,sagt,599
53,afd,593
54,wegen,593
55,land,588
56,bitte,588
57,halt,581
58,politiker,580
59,gibt,565
60,impfen,562
61,wohl,554
62,lassen,545
63,pandemie,542
64,maßnahmen,542
65,politik,540
66,besser,538
67,habt,535
68,geben,532
69,corona,528
70,gehen,520
71,natürlich,516
72,wer,511
73,angst,511
74,hätte,498
75,jahre,493
76,schon,489
77,recht,484
78,mal,475
79,merz,474
80,sagen,472
81,partei,457
82,leben,456
83,einfach,445
84,herr,443
85,ganz,442
86,darf,440
87,lange,435
88,demokratie,434
89,richtig,427
90,amp,425
91,hast,424
92,impfung,423
93,zeit,422
94,frage,419
95,warum,418
96,sehen,417
97,erst,416
98,gut,411
99,leider,408
