,word,count
0,macht,2393
1,afd,2330
2,regierung,2017
3,immer,1707
4,gehen,1412
5,einfach,1159
6,kinder,1136
7,eher,1102
8,spd,1042
9,schulen,1031
10,mal,999
11,fdp,983
12,zahlen,810
13,gemacht,805
14,leider,799
15,sicher,771
16,land,767
17,gut,743
18,pandemie,727
19,wirklich,723
20,geht,718
21,wegen,708
22,erst,705
23,warum,704
24,lieber,685
25,menschen,676
26,halten,672
27,geben,671
28,bürger,633
29,gar,629
30,seit,610
31,sagt,594
32,cdu,590
33,lockdown,588
34,ja,580
35,merkel,578
36,kommen,572
37,politiker,568
38,grünen,563
39,wer,563
40,impfstoff,554
41,partei,545
42,jahr,534
43,viele,523
44,richtig,521
45,virus,508
46,sehen,508
47,vielleicht,504
48,sagen,501
49,klar,486
50,halt,478
51,ganz,478
52,leben,472
53,kommt,471
54,maßnahmen,454
55,sollten,453
56,wäre,452
57,natürlich,450
58,frage,442
59,müssen,437
60,wissen,435
61,gerade,434
62,darf,433
63,falsch,433
64,eigentlich,433
65,covid,424
66,weiß,423
67,schon,422
68,politik,420
69,impfen,413
70,gibt,411
71,endlich,404
72,dafür,400
73,finde,373
74,lange,373
75,nein,359
76,egal,358
77,meinung,356
78,genau,354
79,problem,353
80,lassen,352
81,wohl,351
82,völlig,350
83,hätte,343
84,leute,343
85,recht,333
86,verstehen,324
87,tun,324
88,herr,323
89,bitte,321
90,besser,321
91,wurde,317
92,zeit,308
93,amp,308
94,lauterbach,306
95,deutschland,306
96,ab,305
97,frau,305
98,corona,303
99,nie,301
