,word,count
0,eher,2049
1,klar,2045
2,meinung,1874
3,zeit,1431
4,cdu,1369
5,frau,1098
6,herr,1070
7,warum,985
8,seid,947
9,kinder,930
10,eu,903
11,amp,899
12,gerade,867
13,besser,855
14,genau,836
15,merkel,809
16,nie,806
17,afd,743
18,spd,670
19,wenig,646
20,menschen,640
21,lieber,635
22,lange,622
23,demokratie,611
24,wirklich,610
25,kommen,591
26,wäre,581
27,frage,577
28,völlig,575
29,ab,561
30,halt,554
31,covid,550
32,pandemie,540
33,egal,521
34,gemacht,520
35,weiß,495
36,bitte,492
37,wissen,488
38,politiker,486
39,viele,484
40,regierung,482
41,immer,482
42,ja,479
43,deutschland,479
44,gar,475
45,nein,472
46,wählen,455
47,politik,445
48,seit,435
49,spahn,430
50,recht,423
51,leider,410
52,geht,410
53,gibt,408
54,merz,407
55,gut,406
56,steht,406
57,sehen,405
58,einfach,403
59,wahl,400
60,mal,397
61,afdbeobachtungjetzt,389
62,problem,388
63,sagen,384
64,ganz,378
65,erst,372
66,eigentlich,368
67,darf,362
68,lassen,362
69,vielleicht,357
70,tun,353
71,beim,347
72,falsch,346
73,gehen,344
74,richtig,344
75,schon,336
76,laschet,335
77,trump,330
78,sollten,329
79,kommt,327
80,fdp,327
81,land,324
82,grünen,316
83,leben,312
84,corona,311
85,partei,307
86,dafür,304
87,macht,303
88,wurde,295
89,impfstoff,293
90,müssen,293
91,endlich,291
92,wohl,291
93,nix,290
94,lockdown,287
95,wer,282
96,leute,279
97,masken,277
98,hätte,276
99,jahren,275
