,word,count
0,meinung,2413
1,tun,2383
2,nie,2068
3,müssen,1584
4,gemacht,1389
5,frage,1294
6,wohl,1226
7,partei,1184
8,menschen,1181
9,sehen,1172
10,regierung,1147
11,völlig,1106
12,vielleicht,996
13,ganz,915
14,wissen,855
15,laschet,854
16,wurde,853
17,sicher,847
18,geld,827
19,mal,821
20,egal,757
21,recht,744
22,falsch,731
23,eher,728
24,lieber,701
25,wegen,691
26,geben,684
27,politiker,682
28,genau,678
29,leben,662
30,seit,658
31,frau,658
32,grünen,650
33,kinder,648
34,corona,638
35,welt,626
36,darf,609
37,natürlich,605
38,hast,589
39,afd,572
40,endlich,557
41,politik,541
42,weiß,537
43,leute,531
44,kommen,531
45,viele,508
46,sagt,506
47,gerade,499
48,wäre,494
49,wählen,492
50,kommt,490
51,sollten,483
52,zeit,467
53,impfen,466
54,laschetverhindern,462
55,macht,458
56,schon,457
57,land,456
58,geht,449
59,gehen,445
60,lassen,442
61,wirklich,440
62,ja,439
63,ab,435
64,amp,428
65,bitte,427
66,warum,426
67,gut,422
68,fdp,419
69,klar,416
70,sagen,407
71,gar,406
72,eigentlich,397
73,richtig,396
74,dafür,395
75,steht,388
76,leider,385
77,wer,375
78,beim,369
79,erst,366
80,cdu,364
81,merkel,353
82,jahren,351
83,nein,348
84,daran,347
85,davon,346
86,lauterbach,346
87,halt,342
88,impfung,340
89,hätte,335
90,einfach,335
91,deutschland,335
92,gibt,335
93,wahlkampf,328
94,spd,327
95,besser,326
96,immer,317
97,herr,316
98,problem,316
99,jahre,314
