,word,count
0,politiker,2725
1,bitte,2621
2,darf,2205
3,gehen,1800
4,eben,1461
5,kommen,1327
6,dafür,1277
7,vielleicht,1268
8,kinder,1253
9,deutschen,1181
10,corona,1150
11,mal,1127
12,beim,1078
13,menschen,1029
14,laschet,1025
15,wer,975
16,seit,934
17,schon,908
18,erst,884
19,sehen,861
20,tun,833
21,steht,824
22,jahren,795
23,warum,772
24,endlich,756
25,wegen,750
26,wäre,741
27,wählen,720
28,sicher,709
29,frage,703
30,delta,699
31,immer,694
32,habt,675
33,frau,657
34,gar,653
35,macht,638
36,klar,637
37,union,626
38,geld,615
39,lassen,612
40,gehört,603
41,wissen,592
42,richtig,592
43,eigentlich,591
44,kommt,546
45,einfach,536
46,lauterbach,531
47,müssen,529
48,impfung,512
49,amp,510
50,ja,505
51,sagen,503
52,deutschland,498
53,zeit,493
54,problem,490
55,ab,489
56,regierung,483
57,leben,481
58,geht,480
59,leute,479
60,welt,474
61,ach,469
62,ganz,462
63,hätte,459
64,weiß,453
65,besser,453
66,recht,452
67,natürlich,451
68,nein,449
69,sollten,442
70,gerade,441
71,wurde,433
72,gibt,427
73,fleisch,419
74,grünen,412
75,land,403
76,genau,400
77,herr,398
78,lieber,396
79,politik,390
80,egal,386
81,fdp,384
82,csu,381
83,gemacht,377
84,viele,372
85,nie,371
86,falsch,371
87,cdu,370
88,spd,366
89,halt,366
90,wähler,359
91,wohl,354
92,partei,354
93,wirklich,347
94,geben,345
95,meinung,345
96,afd,344
97,gut,344
98,leider,343
99,jahre,341
