,word,count
0,wirklich,2987
1,immer,2865
2,nein,2393
3,jahr,2100
4,regierung,1713
5,leben,1593
6,cdu,1440
7,spd,1438
8,leider,1435
9,eher,1379
10,tun,1341
11,merkel,1300
12,laschet,1278
13,eigentlich,1140
14,gerade,1122
15,partei,1020
16,frage,1016
17,versagen,1014
18,halt,1010
19,lauterbach,942
20,leute,934
21,nix,929
22,ganz,922
23,macht,916
24,kommen,912
25,wurde,911
26,warum,910
27,ab,902
28,viele,875
29,wissen,873
30,zeit,856
31,zahlen,793
32,lockdown,785
33,wer,775
34,frau,772
35,gehen,768
36,einfach,758
37,politiker,749
38,sicher,746
39,amp,739
40,lassen,738
41,problem,712
42,schon,708
43,müssen,692
44,falsch,690
45,weiß,685
46,genau,680
47,genug,674
48,klar,668
49,bürger,657
50,seit,650
51,darf,643
52,herr,609
53,covid,608
54,endlich,604
55,kinder,604
56,grünen,596
57,halten,571
58,geht,566
59,gar,559
60,bitte,558
61,sagen,549
62,korruption,540
63,hätte,531
64,impfen,527
65,menschen,524
66,wäre,523
67,afd,518
68,linke,517
69,sollten,508
70,lieber,501
71,überhaupt,491
72,wählen,489
73,nie,485
74,kommt,481
75,ja,478
76,wohl,476
77,deutschland,464
78,impfstoff,460
79,gibt,458
80,politik,453
81,gut,451
82,erst,447
83,schulen,447
84,mal,442
85,fdp,442
86,dafür,434
87,corona,430
88,besser,426
89,vielleicht,420
90,land,418
91,spahn,413
92,natürlich,412
93,seid,410
94,recht,410
95,pandemie,403
96,richtig,401
97,csu,401
98,impfung,401
99,jahren,400
