,word,count
0,cdu,2242
1,wählen,2194
2,bitte,1866
3,warum,1433
4,leben,1213
5,geben,1116
6,natürlich,1108
7,lange,1076
8,einfach,1068
9,herr,1065
10,grünen,1044
11,lieber,979
12,wer,924
13,sollten,916
14,echt,914
15,meinung,880
16,wohl,835
17,gibt,810
18,parteien,787
19,seit,747
20,darf,725
21,amp,674
22,leider,661
23,israel,658
24,ab,646
25,jahre,645
26,wirklich,632
27,dafür,615
28,recht,610
29,wissen,594
30,falsch,546
31,wähler,540
32,menschen,539
33,kommen,535
34,richtig,533
35,leute,530
36,beim,518
37,land,512
38,geld,510
39,politik,502
40,zeit,498
41,halt,493
42,spd,475
43,kinder,455
44,corona,454
45,politiker,454
46,geht,452
47,weiß,450
48,nein,448
49,gut,426
50,welt,426
51,besser,417
52,regierung,410
53,kommt,402
54,tun,401
55,erst,400
56,fdp,398
57,viele,398
58,letzten,391
59,endlich,386
60,ganz,383
61,pandemie,381
62,habt,376
63,wäre,375
64,genau,372
65,immer,372
66,vielleicht,371
67,afd,371
68,müssen,370
69,ja,366
70,schon,353
71,nie,350
72,gehen,338
73,union,337
74,angst,332
75,klar,329
76,mal,325
77,seid,325
78,deutschland,320
79,egal,315
80,frage,314
81,wurde,310
82,eigentlich,310
83,partei,307
84,gar,304
85,sagen,304
86,wegen,304
87,frau,299
88,sagt,298
89,ach,298
90,macht,293
91,problem,293
92,jahren,291
93,merkel,289
94,lassen,288
95,laschet,288
96,gerade,287
97,csu,285
98,hätte,278
99,steht,277
