,word,count
0,seit,3446
1,impfung,3265
2,geht,3034
3,geimpfte,2287
4,wissen,2069
5,schon,1707
6,gut,1647
7,angst,1526
8,neue,1495
9,bitte,1492
10,vielleicht,1485
11,grünen,1442
12,cdu,1380
13,regierung,1287
14,leute,1287
15,kommen,1260
16,wäre,1244
17,jahren,1229
18,menschen,1220
19,spd,1200
20,pandemie,1172
21,nein,1076
22,herr,1005
23,gibt,990
24,lassen,979
25,kinder,975
26,hätte,973
27,letzten,965
28,seid,958
29,geimpft,955
30,ganz,953
31,zeit,947
32,recht,940
33,kommt,940
34,ungeimpften,929
35,afd,877
36,viele,863
37,nix,858
38,wegen,839
39,brauchen,820
40,partei,819
41,lauterbach,816
42,leben,815
43,lieber,812
44,erst,809
45,nie,805
46,lage,803
47,covid,765
48,sollten,758
49,sagen,754
50,lockdown,747
51,eigentlich,734
52,ungeimpfte,717
53,frau,715
54,müssen,713
55,endlich,712
56,immer,702
57,richtig,698
58,ampel,686
59,habt,668
60,warum,666
61,falsch,663
62,dafür,648
63,gerade,647
64,amp,642
65,gar,632
66,wirklich,627
67,ab,626
68,wer,622
69,schulen,619
70,wohl,616
71,jahre,615
72,weiß,607
73,problem,597
74,sterben,597
75,virus,573
76,wurde,572
77,macht,567
78,impfpflicht,560
79,impfen,540
80,besser,536
81,geben,534
82,deutschland,531
83,einfach,526
84,halt,523
85,klar,522
86,fdp,516
87,frage,516
88,politik,515
89,corona,513
90,mal,505
91,leider,504
92,lange,499
93,gehen,495
94,maßnahmen,493
95,ja,491
96,tun,487
97,land,486
98,genau,486
99,politiker,480
