,word,count
0,spd,2452
1,wirklich,2379
2,habt,1944
3,herr,1447
4,nein,1283
5,politik,1210
6,menschen,1208
7,klar,1179
8,gibt,1078
9,lauterbach,1018
10,richtig,1016
11,legalisierung,940
12,zeit,933
13,gar,810
14,frage,801
15,leider,800
16,jahren,770
17,partei,754
18,vielleicht,714
19,linke,707
20,wurde,690
21,mal,675
22,gemacht,665
23,frau,663
24,seit,661
25,ampel,652
26,immer,652
27,sollten,640
28,regierung,640
29,geht,626
30,lassen,613
31,meinung,612
32,wähler,600
33,fdp,594
34,erst,584
35,dafür,580
36,wegen,567
37,geimpft,566
38,gut,564
39,eher,564
40,amp,562
41,geben,555
42,warum,518
43,einfach,518
44,genau,506
45,leben,502
46,eigentlich,501
47,niemand,492
48,csu,489
49,bitte,487
50,lieber,477
51,nix,476
52,kinder,471
53,afd,463
54,hast,461
55,wissen,456
56,impfung,453
57,impfen,451
58,jahre,451
59,besser,442
60,tun,442
61,seid,436
62,darf,431
63,corona,426
64,grünen,423
65,kommen,422
66,cdu,422
67,müssen,422
68,nie,421
69,laschet,418
70,egal,407
71,wahl,399
72,schon,397
73,cannabis,390
74,macht,383
75,ganz,382
76,gerade,380
77,politiker,378
78,land,377
79,gehen,376
80,wer,365
81,falsch,359
82,ja,359
83,recht,358
84,hätte,357
85,endlich,356
86,leute,355
87,halt,355
88,sagt,354
89,deutschland,352
90,sagen,347
91,union,345
92,weiß,344
93,viele,340
94,wäre,340
95,ab,336
96,wohl,333
97,problem,331
98,natürlich,330
99,kommt,315
