,word,count
0,eher,4236
1,vielleicht,4119
2,genau,3972
3,union,3380
4,frage,3169
5,gibt,2416
6,leben,2248
7,wahl,2156
8,laschet,2012
9,wirklich,1871
10,wählt,1865
11,gemacht,1750
12,gar,1717
13,müssen,1688
14,letzten,1665
15,halt,1663
16,gewählt,1610
17,macht,1379
18,regierung,1341
19,immer,1334
20,deutschland,1313
21,parteien,1306
22,kinder,1245
23,kanzler,1239
24,lassen,1214
25,ja,1208
26,politiker,1171
27,geben,1170
28,wäre,1106
29,wahlkampf,1077
30,warum,1066
31,afd,1051
32,bitte,1043
33,viele,1036
34,kommt,1034
35,frau,1028
36,recht,1020
37,ab,1017
38,grünen,1013
39,tun,1008
40,politik,992
41,kommen,991
42,merz,987
43,sagt,986
44,nein,986
45,seit,976
46,hätte,961
47,geld,910
48,niemand,891
49,jahre,858
50,richtig,851
51,land,843
52,spd,839
53,klar,835
54,schon,834
55,sagen,810
56,söder,807
57,cdu,807
58,partei,804
59,wählen,799
60,csu,798
61,menschen,798
62,erst,781
63,zeit,768
64,wähler,754
65,nie,746
66,besser,720
67,fdp,717
68,endlich,714
69,wurde,712
70,habt,708
71,weiß,706
72,eigentlich,690
73,amp,682
74,einfach,669
75,herr,662
76,problem,660
77,falsch,658
78,leute,658
79,wer,652
80,linke,651
81,wissen,648
82,lieber,643
83,leider,637
84,gut,631
85,egal,623
86,verloren,616
87,steht,603
88,gehen,601
89,dafür,593
90,gerade,591
91,scholz,584
92,geht,581
93,wohl,572
94,merkel,570
95,ganz,570
96,impfung,568
97,btw,563
98,mal,561
99,jahren,554
