,index,word,count
0,0,richtig,5943
1,1,deutschland,3273
2,2,gut,3037
3,3,hätte,2508
4,4,macht,1959
5,5,darf,1570
6,6,gibt,1503
7,7,falsch,1451
8,8,viele,1443
9,9,geht,1406
10,10,gerade,1400
11,11,afdrausausdenparlamenten,1297
12,12,nein,1087
13,13,erst,1070
14,14,frau,1037
15,15,deutsche,1004
16,16,weidel,924
17,17,problem,917
18,18,zeit,885
19,19,wohl,870
20,20,müssen,772
21,21,wähler,760
22,22,besser,752
23,23,genau,745
24,24,ach,731
25,25,schon,721
26,26,wer,709
27,27,grünen,699
28,28,eigentlich,697
29,29,wählen,687
30,30,seid,682
31,31,leben,674
32,32,sehen,670
33,33,einfach,668
34,34,lieber,661
35,35,wissen,642
36,36,afd,641
37,37,ganz,637
38,38,halt,632
39,39,welt,630
40,40,hast,628
41,41,gehen,626
42,42,regierung,622
43,43,bitte,621
44,44,egal,614
45,45,deutschen,611
46,46,endlich,609
47,47,steht,604
48,48,kommt,601
49,49,wegen,594
50,50,immer,592
51,51,tun,591
52,52,recht,590
53,53,corona,580
54,54,demokratie,565
55,55,nie,560
56,56,merkel,559
57,57,politiker,552
58,58,natürlich,544
59,59,leute,543
60,60,hetze,540
61,61,ja,533
62,62,vielleicht,530
63,63,menschen,522
64,64,wäre,521
65,65,sagt,504
66,66,gehört,496
67,67,cdu,489
68,68,lassen,487
69,69,dafür,482
70,70,brandner,470
71,71,politik,468
72,72,weiß,458
73,73,ab,457
74,74,land,455
75,75,seit,449
76,76,partei,442
77,77,meinung,440
78,78,afdbeobachtungjetzt,439
79,79,wirklich,439
80,80,sollten,437
81,81,nazi,436
82,82,nazis,431
83,83,herr,428
84,84,noafd,427
85,85,dumm,424
86,86,fckafd,420
87,87,tweet,416
88,88,amp,415
89,89,frage,415
90,90,sagen,407
91,91,leider,406
92,92,mal,404
93,93,hass,403
94,94,warum,403
95,95,klar,401
96,96,gar,396
97,97,wurde,395
98,98,kommen,392
99,99,denen,391
