,index,word,count
0,0,ab,13977
1,1,richtig,10632
2,2,geht,10419
3,3,söder,9414
4,4,merz,7182
5,5,erst,6883
6,6,gerade,5429
7,7,cdu,5343
8,8,merkel,5228
9,9,gar,5169
10,10,jahren,4996
11,11,grünen,4732
12,12,egal,4701
13,13,wer,4538
14,14,habt,4403
15,15,besser,4088
16,16,dafür,4068
17,17,wurde,4045
18,18,problem,3388
19,19,wählen,3374
20,20,wirklich,3354
21,21,kommen,3346
22,22,regierung,3338
23,23,pandemie,3251
24,24,warum,3219
25,25,kommt,3099
26,26,tun,3078
27,27,nix,3056
28,28,frau,3005
29,29,csu,2967
30,30,beim,2948
31,31,partei,2927
32,32,wäre,2906
33,33,wahlkampf,2866
34,34,wegen,2862
35,35,btw,2758
36,36,ja,2735
37,37,lieber,2715
38,38,einfach,2695
39,39,recht,2682
40,40,menschen,2641
41,41,wohl,2603
42,42,gut,2600
43,43,kinder,2596
44,44,mal,2586
45,45,halt,2562
46,46,sagen,2553
47,47,letzten,2458
48,48,steht,2426
49,49,bayern,2404
50,50,leider,2399
51,51,endlich,2350
52,52,darf,2309
53,53,immer,2283
54,54,herr,2258
55,55,seit,2235
56,56,amp,2193
57,57,eigentlich,2182
58,58,union,2152
59,59,wähler,2146
60,60,schon,2145
61,61,klar,2125
62,62,land,2109
63,63,zeit,2096
64,64,viele,2047
65,65,nie,2041
66,66,spd,1985
67,67,frage,1960
68,68,sollten,1944
69,69,wahl,1944
70,70,gemacht,1926
71,71,bürger,1917
72,72,sagt,1913
73,73,genau,1902
74,74,hätte,1853
75,75,seid,1830
76,76,deutschland,1813
77,77,afd,1811
78,78,corona,1807
79,79,leute,1761
80,80,bitte,1736
81,81,gibt,1716
82,82,lassen,1707
83,83,weiß,1691
84,84,leben,1675
85,85,jahre,1672
86,86,vielleicht,1659
87,87,spahn,1634
88,88,müssen,1625
89,89,nein,1616
90,90,macht,1603
91,91,ganz,1598
92,92,wissen,1588
93,93,politik,1567
94,94,lange,1558
95,95,impfung,1552
96,96,kanzler,1523
97,97,gehen,1503
98,98,laschet,1480
99,99,politiker,1473
