,index,word,count
0,0,wäre,6180
1,1,erst,3449
2,2,wahl,3428
3,3,land,2942
4,4,gerade,2271
5,5,menschen,1767
6,6,hätte,1666
7,7,politiker,1653
8,8,laschet,1597
9,9,gut,1595
10,10,habt,1552
11,11,genau,1545
12,12,nein,1444
13,13,gehen,1424
14,14,jahre,1334
15,15,bitte,1256
16,16,viele,1200
17,17,wählen,1193
18,18,ja,1058
19,19,herr,1041
20,20,geld,1023
21,21,geht,1023
22,22,mal,1022
23,23,ab,1015
24,24,richtig,1001
25,25,einfach,974
26,26,sehen,961
27,27,eigentlich,959
28,28,cdu,941
29,29,wer,938
30,30,ampel,926
31,31,kommt,924
32,32,maßnahmen,920
33,33,falsch,912
34,34,eher,910
35,35,problem,897
36,36,natürlich,879
37,37,wurde,860
38,38,beim,859
39,39,spd,841
40,40,gar,818
41,41,wissen,818
42,42,niemand,804
43,43,sollten,800
44,44,lange,792
45,45,jahren,774
46,46,egal,755
47,47,wohl,754
48,48,endlich,750
49,49,leben,747
50,50,nie,735
51,51,kinder,711
52,52,recht,707
53,53,impfpflicht,706
54,54,macht,699
55,55,steht,689
56,56,warum,687
57,57,grünen,686
58,58,gibt,684
59,59,kommen,682
60,60,müssen,666
61,61,lockdown,653
62,62,wirklich,648
63,63,leute,647
64,64,weiß,646
65,65,sagen,644
66,66,leider,644
67,67,geben,642
68,68,parteien,638
69,69,lindner,622
70,70,freiheit,619
71,71,vielleicht,603
72,72,fdp,588
73,73,politik,582
74,74,regierung,580
75,75,lassen,580
76,76,klar,579
77,77,tun,565
78,78,pandemie,556
79,79,ganz,548
80,80,lieber,534
81,81,wähler,526
82,82,immer,524
83,83,seit,523
84,84,besser,522
85,85,afd,515
86,86,eben,511
87,87,deutschland,507
88,88,amp,501
89,89,partei,493
90,90,bürger,487
91,91,schon,484
92,92,dafür,483
93,93,frau,482
94,94,corona,478
95,95,frage,475
96,96,kubicki,474
97,97,halt,474
98,98,zeit,471
99,99,darf,468
