,index,word,count
0,0,grünen,3680
1,1,ja,3404
2,2,hätte,3267
3,3,politik,2939
4,4,wählen,1992
5,5,amp,1815
6,6,union,1731
7,7,seit,1692
8,8,wurde,1643
9,9,menschen,1517
10,10,geben,1396
11,11,richtig,1380
12,12,laschet,1366
13,13,lassen,1311
14,14,ganz,1278
15,15,sagen,1268
16,16,wirklich,1197
17,17,ab,1172
18,18,kommt,1109
19,19,afd,1067
20,20,gibt,1055
21,21,wer,1039
22,22,lange,1034
23,23,leute,1028
24,24,wohl,1023
25,25,lieber,1013
26,26,fdp,976
27,27,gut,964
28,28,cdu,942
29,29,immer,942
30,30,wegen,882
31,31,weiß,880
32,32,vielleicht,867
33,33,problem,848
34,34,dafür,842
35,35,gemacht,824
36,36,endlich,818
37,37,sollten,807
38,38,bitte,797
39,39,wäre,793
40,40,falsch,784
41,41,frage,765
42,42,kommen,760
43,43,steht,757
44,44,darf,750
45,45,gehen,748
46,46,nie,730
47,47,eher,714
48,48,müssen,713
49,49,kinder,712
50,50,beim,680
51,51,seid,676
52,52,frau,673
53,53,leben,672
54,54,nein,666
55,55,halt,651
56,56,egal,644
57,57,grün,624
58,58,warum,611
59,59,thema,611
60,60,baerbock,606
61,61,regierung,604
62,62,land,599
63,63,eigentlich,599
64,64,macht,596
65,65,gar,594
66,66,weniger,592
67,67,jahre,580
68,68,corona,562
69,69,deutschland,552
70,70,btw,547
71,71,einfach,543
72,72,viele,537
73,73,besser,533
74,74,wähler,523
75,75,schon,521
76,76,mal,521
77,77,herr,516
78,78,grüne,515
79,79,politiker,514
80,80,spd,502
81,81,klar,502
82,82,erst,498
83,83,innen,497
84,84,natürlich,496
85,85,zeit,495
86,86,recht,492
87,87,geld,488
88,88,eben,487
89,89,genau,481
90,90,partei,479
91,91,habt,473
92,92,wissen,472
93,93,leider,470
94,94,tun,469
95,95,geht,467
96,96,parteien,466
97,97,gerade,462
98,98,finde,460
99,99,jahren,456
