,index,word,count
0,0,halt,1970
1,1,gar,1867
2,2,regierung,1727
3,3,meinung,1592
4,4,ab,1323
5,5,wissen,1272
6,6,frau,1076
7,7,weiß,1046
8,8,erst,972
9,9,grünen,954
10,10,cdu,934
11,11,zeit,907
12,12,ddr,888
13,13,spd,820
14,14,endlich,772
15,15,eher,710
16,16,überhaupt,663
17,17,kommt,649
18,18,macht,629
19,19,jahren,619
20,20,lassen,609
21,21,problem,588
22,22,deutschland,582
23,23,falsch,582
24,24,viele,576
25,25,partei,572
26,26,corona,546
27,27,müssen,530
28,28,wagenknecht,520
29,29,politiker,512
30,30,wer,507
31,31,finde,503
32,32,land,497
33,33,sagt,490
34,34,geht,486
35,35,darf,479
36,36,lieber,474
37,37,weniger,467
38,38,amp,466
39,39,genau,464
40,40,linken,449
41,41,thema,446
42,42,wirklich,442
43,43,wähler,430
44,44,gut,426
45,45,ja,419
46,46,davon,417
47,47,dafür,416
48,48,sagen,411
49,49,ganz,410
50,50,klar,409
51,51,tun,407
52,52,geld,398
53,53,herr,393
54,54,nein,390
55,55,bitte,378
56,56,eigentlich,376
57,57,politik,369
58,58,natürlich,369
59,59,menschen,367
60,60,gemacht,367
61,61,leute,365
62,62,geben,356
63,63,hast,346
64,64,gehen,346
65,65,jahre,345
66,66,wählen,343
67,67,einfach,343
68,68,vielleicht,338
69,69,seit,330
70,70,wäre,330
71,71,hätte,328
72,72,leider,323
73,73,recht,321
74,74,mal,312
75,75,besser,312
76,76,leben,304
77,77,gerade,303
78,78,berlin,302
79,79,sollten,301
80,80,links,300
81,81,richtig,297
82,82,ahnung,295
83,83,wurde,294
84,84,nie,291
85,85,warum,289
86,86,sed,286
87,87,wohl,285
88,88,linke,281
89,89,afd,280
90,90,schon,279
91,91,kommen,279
92,92,immer,276
93,93,gibt,274
94,94,denen,274
95,95,parteien,274
96,96,impfung,273
97,97,fdp,271
98,98,eben,270
99,99,frage,264
