,index,word,count
0,0,jahr,11301
1,1,gerade,11138
2,2,impfen,9425
3,3,schulen,8067
4,4,macht,7523
5,5,sagt,6880
6,6,eher,5745
7,7,viele,5530
8,8,weiß,5272
9,9,gehen,4984
10,10,wegen,4964
11,11,bitte,4811
12,12,gibt,4627
13,13,frau,4608
14,14,covid,4261
15,15,cdu,4036
16,16,hätte,3831
17,17,sehen,3691
18,18,sollten,3615
19,19,richtig,3412
20,20,spd,3278
21,21,wohl,3272
22,22,halt,3233
23,23,gemacht,3208
24,24,problem,3156
25,25,laschet,3128
26,26,kommt,3061
27,27,sicher,2988
28,28,müssen,2961
29,29,herr,2956
30,30,lange,2848
31,31,lockdown,2769
32,32,politiker,2758
33,33,eigentlich,2712
34,34,scholz,2684
35,35,sagen,2682
36,36,wirklich,2620
37,37,leute,2557
38,38,wissen,2507
39,39,leider,2421
40,40,lassen,2377
41,41,wäre,2345
42,42,lieber,2341
43,43,ja,2290
44,44,endlich,2285
45,45,genau,2232
46,46,nein,2212
47,47,corona,2199
48,48,ab,2197
49,49,geimpft,2176
50,50,meinung,2170
51,51,wurde,2164
52,52,pandemie,2141
53,53,besser,2121
54,54,virus,2118
55,55,maßnahmen,2069
56,56,zeit,2032
57,57,nie,2027
58,58,lauterbach,1988
59,59,impfstoff,1968
60,60,politik,1967
61,61,menschen,1962
62,62,vielleicht,1939
63,63,warum,1939
64,64,falsch,1930
65,65,kommen,1913
66,66,frage,1882
67,67,impfung,1856
68,68,zahlen,1827
69,69,schon,1823
70,70,recht,1810
71,71,dafür,1767
72,72,sterben,1757
73,73,tun,1740
74,74,wer,1740
75,75,leben,1730
76,76,amp,1676
77,77,erst,1663
78,78,gar,1605
79,79,regierung,1604
80,80,egal,1602
81,81,seit,1588
82,82,gut,1574
83,83,land,1571
84,84,jahren,1569
85,85,geht,1567
86,86,hast,1566
87,87,angst,1540
88,88,geben,1523
89,89,karl,1519
90,90,partei,1518
91,91,mal,1513
92,92,jahre,1499
93,93,natürlich,1485
94,94,klar,1471
95,95,einfach,1464
96,96,kinder,1441
97,97,deutschland,1427
98,98,immer,1425
99,99,ganz,1421
