,word,count
0,gibt,21875
1,politik,16118
2,lassen,14569
3,impfung,10482
4,jahre,8033
5,lauterbach,7438
6,endlich,6912
7,zahlen,6800
8,sagen,6516
9,warum,6350
10,jahren,6241
11,halt,5240
12,nein,5237
13,amp,5073
14,kinder,5034
15,sieht,5022
16,menschen,4839
17,eigentlich,4797
18,wissen,4735
19,bekommen,4715
20,wäre,4697
21,klar,4521
22,eher,4424
23,gerne,4400
24,darf,4348
25,viele,4217
26,richtig,4115
27,afd,4111
28,grünen,4054
29,lockdown,3988
30,spd,3912
31,kommt,3894
32,erst,3893
33,schon,3876
34,geht,3809
35,fdp,3741
36,jahr,3727
37,hätte,3693
38,gerade,3686
39,eben,3679
40,sehen,3659
41,deutschland,3529
42,covid,3518
43,weiß,3352
44,seit,3343
45,natürlich,3329
46,frau,3316
47,mal,3308
48,gar,3287
49,tun,3265
50,steht,3241
51,ganz,3230
52,brauchen,3196
53,btw,3177
54,neue,3176
55,stimmt,3121
56,wirklich,3083
57,corona,2990
58,weniger,2939
59,genau,2907
60,vielleicht,2896
61,geben,2883
62,ja,2874
63,impfstoff,2826
64,laschet,2818
65,impfen,2788
66,beim,2741
67,müssen,2706
68,leben,2652
69,macht,2604
70,recht,2597
71,geld,2533
72,cdu,2492
73,sicher,2488
74,besser,2486
75,zeit,2451
76,thema,2418
77,wann,2399
78,schulen,2399
79,herr,2378
80,ab,2365
81,gehen,2356
82,einfach,2326
83,gut,2317
84,bitte,2296
85,dafür,2289
86,regierung,2261
87,partei,2248
88,wurde,2247
89,immer,2244
90,davon,2217
91,sagt,2206
92,wer,2202
93,frage,2196
94,na,2196
95,geimpft,2168
96,sollten,2138
97,gesagt,2133
98,wohl,2084
99,kommen,2076
