,word,count
0,macht,1887
1,bitte,1366
2,schule,1188
3,herr,913
4,covid,714
5,zahlen,713
6,gibt,685
7,sagen,614
8,ab,603
9,darf,597
10,einfach,594
11,müssen,572
12,beim,564
13,laschet,529
14,union,500
15,geht,459
16,tests,455
17,söder,449
18,eigentlich,448
19,tun,436
20,afd,434
21,grünen,432
22,nein,398
23,lockdown,393
24,warum,388
25,wäre,374
26,sehen,371
27,natürlich,370
28,weniger,362
29,geimpft,356
30,sicher,353
31,schon,352
32,wirklich,351
33,zeit,351
34,ja,348
35,mal,346
36,kommt,342
37,seit,339
38,wann,337
39,gesagt,336
40,weiß,325
41,lauterbach,316
42,kinder,315
43,lassen,306
44,viele,302
45,partei,297
46,genau,297
47,test,292
48,corona,281
49,frau,277
50,gut,276
51,cdu,274
52,wurde,272
53,eltern,268
54,deutschland,267
55,steht,267
56,wohl,266
57,jahr,265
58,maßnahmen,265
59,erst,263
60,wer,260
61,ganz,252
62,klar,246
63,gar,246
64,wissen,246
65,regierung,246
66,spd,240
67,schulen,239
68,impfen,238
69,fdp,236
70,impfung,234
71,recht,233
72,stimmt,232
73,menschen,231
74,tage,229
75,inzidenz,227
76,politiker,226
77,woche,226
78,dafür,225
79,besser,224
80,frage,223
81,gerne,222
82,pandemie,221
83,gehen,220
84,richtig,220
85,politik,217
86,amp,216
87,hätte,214
88,endlich,206
89,gerade,205
90,wochen,204
91,halt,201
92,sagt,200
93,sollten,199
94,davon,199
95,kommen,196
96,sieht,195
97,vielleicht,192
98,eher,192
99,immer,190
