,word,count
0,afghanistan,2220
1,dafür,1579
2,btw,1467
3,partei,963
4,bitte,859
5,impfen,778
6,vielleicht,767
7,afd,755
8,geben,696
9,geld,670
10,macht,627
11,kommen,625
12,ab,569
13,wurde,498
14,weniger,497
15,grüne,493
16,na,482
17,immer,468
18,scholz,466
19,jahre,460
20,stimmt,459
21,kinder,459
22,grünen,455
23,eben,447
24,regierung,443
25,beim,431
26,wer,427
27,linke,425
28,wann,425
29,sicher,418
30,politik,415
31,eigentlich,399
32,gerade,387
33,grün,383
34,menschen,382
35,sollten,365
36,lassen,353
37,genau,349
38,wissen,344
39,laschet,343
40,richtig,336
41,frage,336
42,sehen,336
43,sagen,336
44,spd,331
45,hätte,330
46,davon,323
47,zeit,321
48,ne,321
49,impfung,317
50,herr,316
51,geimpft,313
52,erst,308
53,nein,307
54,wählen,306
55,dabei,305
56,union,299
57,gibt,298
58,natürlich,296
59,fragen,295
60,cdu,293
61,halt,288
62,wäre,283
63,sieht,282
64,recht,280
65,wirklich,275
66,geht,272
67,weiß,270
68,ja,265
69,gut,262
70,ganz,258
71,darf,255
72,geimpfte,252
73,sagt,250
74,seit,244
75,amp,241
76,kommt,241
77,wohl,240
78,nie,238
79,corona,237
80,jahren,237
81,viele,234
82,warum,233
83,gehen,233
84,braucht,232
85,mal,231
86,wahl,231
87,thema,230
88,parteien,230
89,klar,227
90,schon,226
91,einfach,217
92,tun,216
93,besser,216
94,eher,215
95,steht,214
96,müssen,212
97,fdp,211
98,deutschland,211
99,gar,210
