,word,count
0,herr,1913
1,leben,1476
2,eher,1311
3,impfung,931
4,geimpft,651
5,deutschland,639
6,wurde,636
7,besser,624
8,genau,567
9,kinder,526
10,immer,517
11,fdp,503
12,erst,495
13,vielleicht,457
14,halt,446
15,seit,444
16,kommen,436
17,gehen,429
18,partei,427
19,sagen,425
20,wer,407
21,spd,406
22,frage,403
23,lauterbach,397
24,bitte,396
25,steht,386
26,warum,385
27,meinung,383
28,davon,374
29,lassen,354
30,gerade,343
31,impfen,342
32,bekommen,337
33,gar,337
34,ganz,336
35,corona,330
36,omikron,330
37,eben,329
38,viele,327
39,sollten,324
40,nie,317
41,menschen,316
42,einfach,315
43,cdu,295
44,impfpflicht,293
45,recht,288
46,müssen,288
47,jahr,288
48,schon,286
49,nein,284
50,geben,281
51,dafür,270
52,geht,269
53,lange,267
54,natürlich,266
55,kommt,264
56,zeit,263
57,frau,262
58,amp,262
59,merz,261
60,tun,260
61,zahlen,260
62,mal,258
63,gut,255
64,hätte,252
65,eigentlich,251
66,wohl,249
67,weniger,248
68,wäre,244
69,impfstoff,243
70,afd,243
71,neue,240
72,braucht,239
73,jahren,238
74,pandemie,235
75,macht,235
76,weiß,232
77,regierung,228
78,gibt,228
79,wahl,227
80,darf,226
81,endlich,222
82,sehen,219
83,richtig,218
84,booster,218
85,wirklich,218
86,ja,217
87,ab,216
88,sagt,216
89,sieht,215
90,maßnahmen,212
91,beim,203
92,na,201
93,wann,198
94,hast,198
95,wissen,197
96,jahre,196
97,klar,194
98,sicher,193
99,stimmt,192
