,word,count
0,seit,1488
1,sehen,1073
2,test,1023
3,mal,780
4,lockdown,557
5,tests,517
6,herr,489
7,welle,477
8,wohl,449
9,richtig,386
10,covid,374
11,einfach,372
12,schon,347
13,corona,338
14,zahlen,334
15,sicher,333
16,grünen,333
17,müssen,330
18,frau,327
19,impfen,326
20,yestonocovid,317
21,gehen,316
22,vielleicht,309
23,sagt,306
24,geht,304
25,warum,303
26,wann,292
27,sollten,285
28,politik,281
29,lassen,280
30,spd,280
31,viele,277
32,inzidenz,276
33,weiß,274
34,bitte,271
35,ja,271
36,afd,270
37,macht,266
38,kommt,262
39,nocovid,258
40,kommen,256
41,jahr,256
42,kinder,256
43,recht,254
44,geben,251
45,immer,249
46,ganz,248
47,genau,243
48,natürlich,239
49,fangteinfachan,237
50,lauterbach,237
51,besser,236
52,menschen,236
53,steht,235
54,beim,230
55,frage,229
56,gerne,227
57,wer,227
58,stimmt,218
59,wirklich,216
60,ab,212
61,erst,208
62,sagen,207
63,gar,206
64,leben,202
65,halt,202
66,virus,202
67,wissen,199
68,gibt,198
69,partei,196
70,eigentlich,196
71,impfstoff,196
72,hätte,195
73,gerade,194
74,zeit,193
75,fdp,190
76,deutschland,190
77,schulen,189
78,thema,188
79,wäre,185
80,klar,182
81,weniger,181
82,maßnahmen,179
83,sieht,179
84,wochen,179
85,darf,177
86,endlich,171
87,gut,169
88,dafür,168
89,geimpft,168
90,cdu,167
91,bekommen,167
92,nein,165
93,lange,164
94,pandemie,161
95,eher,160
96,impfung,158
97,tun,157
98,wurde,155
99,amp,153
