,word,count
0,ganz,1371
1,ffp,1057
2,maske,928
3,kommt,622
4,weiß,573
5,gar,556
6,eigentlich,463
7,gemacht,453
8,darf,445
9,gerade,434
10,frau,419
11,klar,349
12,wurde,340
13,corona,330
14,hätte,322
15,viele,321
16,erst,305
17,jahre,303
18,macht,299
19,partei,298
20,gibt,290
21,steht,286
22,stimmt,286
23,spd,279
24,einfach,272
25,menschen,270
26,nein,267
27,immer,266
28,eu,265
29,mal,264
30,politik,259
31,besser,250
32,zahlen,250
33,beim,244
34,geht,239
35,ja,237
36,bitte,235
37,tun,234
38,sicher,233
39,kommen,231
40,gehen,230
41,eben,228
42,sagt,225
43,wer,222
44,herr,218
45,schon,215
46,genau,214
47,sagen,214
48,gut,213
49,neue,213
50,kinder,211
51,wäre,210
52,deutschland,206
53,merkel,203
54,laschet,200
55,sehen,199
56,covid,199
57,afdbeobachtungjetzt,199
58,lockdown,197
59,recht,191
60,frage,190
61,impfung,190
62,seit,188
63,ab,184
64,dafür,183
65,sollten,183
66,zeit,182
67,fragen,178
68,eher,177
69,jahr,174
70,gesagt,173
71,sieht,171
72,cdu,171
73,fdp,169
74,weniger,168
75,merz,168
76,fckafd,166
77,impfstoff,163
78,natürlich,162
79,warum,162
80,halt,157
81,müssen,157
82,lassen,157
83,amp,154
84,leben,154
85,vielleicht,152
86,jahren,150
87,afd,149
88,davon,149
89,wohl,148
90,thema,147
91,masken,146
92,braucht,145
93,wissen,144
94,lieber,143
95,brauchen,142
96,grünen,140
97,wahl,138
98,wirklich,135
99,richtig,134
