,word,count
0,gerade,1579
1,einfach,1210
2,dafür,1047
3,wurde,861
4,wer,588
5,leute,560
6,geimpft,559
7,schulen,556
8,sehen,534
9,ne,524
10,recht,494
11,deutschland,423
12,gehen,403
13,eigentlich,389
14,wirklich,387
15,seit,383
16,thema,373
17,schon,361
18,sagt,361
19,beim,349
20,davon,349
21,leben,349
22,klar,346
23,ganz,342
24,herr,341
25,hätte,338
26,genau,337
27,wissen,331
28,ab,318
29,wählen,318
30,covid,313
31,laschet,309
32,afd,304
33,impfen,301
34,grünen,300
35,besser,286
36,wann,285
37,ach,284
38,vielleicht,282
39,eher,279
40,bitte,274
41,gerne,267
42,partei,266
43,sollten,259
44,bekommen,259
45,ja,254
46,mal,253
47,jahren,247
48,nie,246
49,gut,238
50,cdu,238
51,wäre,230
52,zeit,230
53,btw,226
54,geld,223
55,politik,219
56,erst,217
57,eben,215
58,impfstoff,214
59,stimmt,213
60,geht,213
61,halt,213
62,gibt,210
63,kommt,209
64,natürlich,205
65,corona,201
66,kommen,198
67,tun,197
68,lauterbach,196
69,gesagt,194
70,viele,191
71,weniger,189
72,sicher,189
73,frage,189
74,amp,186
75,darf,185
76,gar,184
77,delta,183
78,weiß,181
79,impfung,181
80,sagen,178
81,fdp,178
82,zahlen,177
83,müssen,174
84,lassen,173
85,nein,172
86,jahr,169
87,kinder,167
88,geben,167
89,jahre,167
90,wohl,163
91,brauchen,162
92,immer,161
93,steht,161
94,menschen,157
95,warum,157
96,macht,156
97,richtig,154
98,lange,153
99,spd,151
