,word,count
0,geld,1801
1,müssen,1274
2,darf,1152
3,steht,882
4,delta,656
5,frau,634
6,herr,596
7,gar,525
8,wurde,504
9,richtig,482
10,spd,475
11,beim,443
12,sagen,427
13,grünen,423
14,tun,406
15,schon,403
16,genau,402
17,geht,399
18,btw,398
19,eigentlich,390
20,gibt,386
21,eher,366
22,zahlen,356
23,davon,346
24,nein,345
25,besser,342
26,gut,339
27,variante,334
28,gerne,334
29,fdp,333
30,kommen,331
31,land,331
32,mal,330
33,thema,323
34,natürlich,317
35,eben,317
36,geimpft,306
37,neue,299
38,wohl,297
39,lassen,293
40,dafür,292
41,wäre,290
42,jahren,288
43,ganz,285
44,jahre,285
45,menschen,284
46,brauchen,276
47,leben,275
48,weniger,275
49,braucht,268
50,erst,263
51,sagt,263
52,fleisch,260
53,sicher,260
54,macht,257
55,corona,252
56,wer,250
57,seit,247
58,impfung,244
59,deutschland,242
60,cdu,238
61,impfen,234
62,kinder,230
63,ab,230
64,wann,225
65,stimmt,224
66,gerade,220
67,na,216
68,bitte,215
69,sollten,215
70,vielleicht,213
71,immer,212
72,nie,210
73,gesagt,210
74,partei,209
75,zeit,206
76,impfstoff,202
77,lauterbach,202
78,wählen,199
79,weiß,199
80,warum,198
81,wirklich,196
82,frage,193
83,viele,192
84,ne,192
85,politik,191
86,kommt,187
87,afd,185
88,amp,185
89,hätte,179
90,sieht,174
91,halt,174
92,einfach,174
93,geben,173
94,bekommen,172
95,recht,170
96,sehen,168
97,ja,167
98,wissen,164
99,klar,163
