,word,count
0,schulen,1776
1,sagen,1384
2,jahr,1150
3,bitte,809
4,seehofer,681
5,lassen,584
6,stimmt,584
7,nein,564
8,natürlich,535
9,weiß,515
10,eher,505
11,gerade,496
12,zahlen,434
13,spd,433
14,viele,428
15,immer,417
16,geht,407
17,besser,407
18,afd,402
19,sehen,393
20,sieht,381
21,gehen,381
22,sollten,380
23,partei,375
24,lauterbach,374
25,wochen,367
26,wann,367
27,ganz,363
28,impfen,352
29,sicher,341
30,vielleicht,334
31,deutschland,334
32,warum,329
33,dafür,326
34,einfach,321
35,groko,319
36,grünen,319
37,amp,310
38,impfung,307
39,wäre,306
40,fdp,303
41,merkel,297
42,steht,294
43,maßnahmen,290
44,frage,289
45,eigentlich,286
46,ab,285
47,brauchen,282
48,eben,282
49,halt,282
50,mal,280
51,seit,280
52,kommen,275
53,weniger,274
54,gar,273
55,klar,273
56,gibt,268
57,beim,267
58,richtig,266
59,recht,263
60,genau,262
61,thema,256
62,eu,254
63,loveisnottourism,249
64,politik,249
65,wirklich,247
66,tests,245
67,wissen,245
68,covid,236
69,geben,233
70,macht,227
71,müssen,226
72,tun,225
73,testen,224
74,frau,223
75,erst,222
76,wurde,222
77,kommt,221
78,leute,213
79,inzidenz,213
80,pandemie,208
81,hätte,206
82,wohl,205
83,hören,204
84,corona,204
85,menschen,203
86,ja,203
87,sagt,199
88,herr,198
89,kinder,198
90,impfstoff,198
91,gut,197
92,zeit,196
93,schon,194
94,wer,194
95,endlich,192
96,geimpft,191
97,darf,191
98,cdu,190
99,lockdown,190
