,word,count
0,besser,1478
1,kinder,1052
2,sehen,992
3,sollten,713
4,frau,542
5,wohl,507
6,jahre,505
7,lassen,504
8,weniger,455
9,seit,435
10,einfach,423
11,halt,397
12,kommen,367
13,corona,364
14,gibt,360
15,bekommen,357
16,wäre,349
17,genau,338
18,grünen,325
19,richtig,324
20,eher,319
21,gehen,312
22,natürlich,307
23,schon,303
24,ab,299
25,macht,290
26,darf,289
27,jahr,288
28,sagen,288
29,sicher,274
30,sollen,269
31,wurde,266
32,nie,266
33,fdp,264
34,jahren,258
35,viele,257
36,sieht,250
37,warum,246
38,gut,241
39,steht,239
40,geht,238
41,wirklich,236
42,terf,232
43,amp,229
44,kommt,229
45,gesagt,227
46,herr,224
47,impfstoff,216
48,hätte,215
49,geld,213
50,zeit,211
51,bitte,210
52,müssen,209
53,problem,205
54,thema,204
55,tun,202
56,gerade,200
57,mal,198
58,davon,195
59,erst,188
60,geimpft,188
61,politik,188
62,geben,186
63,stimmt,186
64,israel,184
65,impfen,180
66,afd,180
67,nein,180
68,wochen,179
69,weiß,179
70,ganz,177
71,wissen,175
72,recht,173
73,sagt,172
74,eben,172
75,spd,170
76,neue,170
77,klar,164
78,eigentlich,162
79,impfung,160
80,ja,160
81,deutschland,158
82,wann,158
83,dafür,158
84,menschen,158
85,land,157
86,vielleicht,152
87,wer,150
88,ach,149
89,frage,148
90,partei,145
91,beim,144
92,cdu,141
93,gar,141
94,leben,138
95,zahlen,137
96,brauchen,137
97,gerne,137
98,immer,136
99,eu,136
