,word,count
0,eigentlich,2179
1,wissen,1646
2,sehen,1606
3,impfung,944
4,geimpften,857
5,cdu,834
6,spd,761
7,impfen,706
8,zeit,660
9,impfpflicht,649
10,ampel,623
11,bekommen,622
12,politik,581
13,delta,529
14,seit,513
15,zahlen,513
16,wurde,502
17,ganz,490
18,davon,482
19,besser,478
20,lauterbach,472
21,bitte,459
22,menschen,457
23,geht,456
24,fdp,454
25,gar,454
26,variante,443
27,virus,442
28,ungeimpfte,438
29,immer,425
30,sagt,411
31,impfstoff,405
32,steht,395
33,bayern,391
34,erst,391
35,booster,386
36,mal,384
37,vielleicht,383
38,halt,380
39,pandemie,378
40,weniger,376
41,hätte,373
42,herr,365
43,wäre,364
44,nein,358
45,genau,356
46,sagen,356
47,deutschland,355
48,sofort,352
49,wer,352
50,brauchen,349
51,schon,342
52,gehen,341
53,gerade,334
54,covid,333
55,richtig,333
56,geimpft,331
57,lockdown,329
58,boostern,327
59,kommt,321
60,dafür,309
61,macht,303
62,wirklich,300
63,endlich,299
64,sieht,297
65,wohl,295
66,gesundheitsminister,291
67,eher,288
68,tun,287
69,lange,286
70,warum,285
71,recht,277
72,weiß,277
73,gut,273
74,frage,267
75,beim,266
76,klar,266
77,sollten,263
78,natürlich,261
79,wochen,260
80,kinder,254
81,neue,253
82,müssen,249
83,einfach,243
84,schnell,241
85,ab,241
86,lassen,238
87,maßnahmen,237
88,amp,231
89,kommen,230
90,sicher,224
91,wann,224
92,eben,223
93,gibt,222
94,regierung,218
95,viele,218
96,geimpfte,216
97,ja,216
98,corona,213
99,stimmt,213
