,word,count
0,richtig,1542
1,frage,1144
2,sehen,1024
3,gibt,962
4,tun,945
5,wissen,570
6,zeit,559
7,frauen,553
8,wer,529
9,lassen,499
10,ja,497
11,immer,482
12,besser,468
13,zukunft,444
14,gerne,430
15,nie,428
16,amp,419
17,geimpft,412
18,endlich,407
19,cdu,385
20,jahren,368
21,impfen,363
22,natürlich,356
23,beim,344
24,geht,340
25,braucht,338
26,stimmt,337
27,erst,336
28,nein,329
29,eben,325
30,wichtig,325
31,weniger,319
32,mehrheitfuerlegalisierung,315
33,stellen,312
34,klar,310
35,wurde,297
36,sicher,286
37,wieso,284
38,klimaschutz,277
39,weiß,277
40,innen,276
41,seit,275
42,bitte,274
43,gerade,268
44,legalisierung,264
45,wohl,259
46,sagt,256
47,müssen,255
48,gar,254
49,sollten,253
50,cannabislegalisierung,252
51,macht,252
52,sagen,252
53,kommen,251
54,deutschland,250
55,ampel,250
56,schon,250
57,steht,244
58,rauchen,242
59,dafür,242
60,afd,240
61,kinder,237
62,koalitionsvertrag,235
63,lauterbach,234
64,geben,234
65,nichtverhandelbar,234
66,deutlich,231
67,herr,223
68,wirklich,221
69,hätte,221
70,menschen,221
71,eigentlich,217
72,wäre,212
73,ab,212
74,eher,211
75,halt,210
76,warum,210
77,genau,207
78,einfach,206
79,vielleicht,205
80,viele,203
81,brauchen,203
82,grünen,201
83,joint,201
84,partei,200
85,corona,193
86,geimpfte,193
87,kommt,192
88,recht,192
89,darf,181
90,cannabis,180
91,thema,179
92,spd,179
93,jahre,175
94,covid,175
95,ganz,175
96,mal,172
97,gut,171
98,fdp,170
99,impfung,170
