,word,count
0,bitte,2641
1,mal,1857
2,braucht,1681
3,genau,1338
4,gar,1192
5,wurde,1102
6,zahlen,976
7,grün,958
8,wohl,941
9,nein,906
10,immer,905
11,menschen,904
12,linke,748
13,wer,740
14,davon,724
15,stimmt,635
16,fdp,619
17,frau,583
18,kommt,575
19,sagen,568
20,warum,560
21,besser,557
22,wählen,557
23,laschet,542
24,gibt,542
25,sicher,537
26,richtig,526
27,viele,522
28,wähler,514
29,eigentlich,502
30,regierung,500
31,csu,496
32,eben,490
33,spd,489
34,zeit,488
35,einfach,486
36,afd,486
37,halt,465
38,lassen,465
39,ab,461
40,herr,455
41,scholz,445
42,stimmen,438
43,amp,433
44,weniger,427
45,vielleicht,421
46,lieber,418
47,gerade,416
48,geben,409
49,klar,405
50,beim,402
51,gut,394
52,jahren,382
53,jahre,382
54,sieht,379
55,politik,377
56,btw,376
57,geht,372
58,cdu,369
59,wirklich,366
60,wissen,361
61,gehen,359
62,erst,356
63,partei,353
64,hätte,351
65,recht,346
66,steht,345
67,grüne,345
68,sehen,334
69,gewählt,333
70,natürlich,332
71,geld,325
72,koalition,324
73,frage,323
74,union,318
75,grünen,316
76,tun,304
77,weiß,300
78,sagt,300
79,wahl,299
80,wäre,296
81,thema,295
82,kinder,294
83,dafür,293
84,wann,292
85,eher,292
86,bundestagswahl,291
87,seit,291
88,schon,286
89,macht,282
90,kanzler,281
91,kommen,280
92,impfung,280
93,deutschland,278
94,ganz,278
95,darf,277
96,müssen,273
97,ja,271
98,parteien,269
99,dabei,267
