,index,word,count
0,0,nie,1532
1,1,sagt,1442
2,2,dabei,1031
3,3,ganz,956
4,4,wäre,630
5,5,davon,457
6,6,eher,456
7,7,hätte,428
8,8,stimmt,403
9,9,müssen,396
10,10,gibt,388
11,11,macht,374
12,12,wählen,340
13,13,immer,311
14,14,wer,310
15,15,ach,304
16,16,bestimmt,300
17,17,genau,283
18,18,wohl,281
19,19,wahl,278
20,20,zeit,277
21,21,richtig,274
22,22,gerne,273
23,23,gehen,273
24,24,darf,270
25,25,frage,253
26,26,weiß,250
27,27,sagen,247
28,28,land,245
29,29,afdbeobachtungjetzt,241
30,30,einfach,240
31,31,sehen,238
32,32,gar,235
33,33,eben,234
34,34,wieso,232
35,35,fckafd,231
36,36,gerade,225
37,37,nein,220
38,38,lassen,219
39,39,meinung,219
40,40,lesen,216
41,41,herr,216
42,42,cdu,213
43,43,wirklich,211
44,44,wurde,205
45,45,steht,205
46,46,weniger,202
47,47,impfen,202
48,48,na,194
49,49,bitte,194
50,50,corona,192
51,51,geht,191
52,52,wann,186
53,53,eigentlich,182
54,54,wissen,177
55,55,mal,175
56,56,ne,171
57,57,afd,171
58,58,viele,169
59,59,tun,169
60,60,ab,168
61,61,leben,168
62,62,geimpft,168
63,63,frau,167
64,64,gesagt,166
65,65,weidel,166
66,66,erst,164
67,67,jahren,163
68,68,sieht,162
69,69,ja,160
70,70,grünen,160
71,71,brandner,159
72,72,thema,155
73,73,sollten,154
74,74,heißt,153
75,75,menschen,152
76,76,noafd,150
77,77,merkel,146
78,78,natürlich,145
79,79,halt,145
80,80,hast,144
81,81,zahlen,143
82,82,gut,142
83,83,dafür,142
84,84,warum,141
85,85,leute,139
86,86,schon,137
87,87,klar,137
88,88,deutschen,137
89,89,partei,135
90,90,kommt,134
91,91,sicher,133
92,92,recht,129
93,93,besser,126
94,94,impfung,126
95,95,beim,124
96,96,deutschland,123
97,97,vielleicht,123
98,98,seit,121
99,99,kommen,119
