,index,word,count
0,0,weiß,6395
1,1,seit,4810
2,2,regierung,4314
3,3,politik,3998
4,4,fragen,2834
5,5,sehen,2341
6,6,darf,2243
7,7,vielleicht,2122
8,8,beim,2115
9,9,merkel,2010
10,10,wann,1990
11,11,ja,1936
12,12,jahre,1565
13,13,deutschland,1547
14,14,partei,1488
15,15,viele,1465
16,16,halt,1432
17,17,frau,1429
18,18,gerade,1376
19,19,csu,1341
20,20,hätte,1324
21,21,erst,1313
22,22,geimpft,1310
23,23,gesagt,1299
24,24,sagt,1289
25,25,union,1276
26,26,jahren,1272
27,27,wurde,1250
28,28,bitte,1213
29,29,geht,1145
30,30,einfach,1130
31,31,afd,1127
32,32,gut,1126
33,33,impfung,1120
34,34,weniger,1115
35,35,amp,1097
36,36,herr,1095
37,37,richtig,1073
38,38,impfstoff,1070
39,39,dafür,1069
40,40,nrw,1058
41,41,bayern,1052
42,42,merz,1050
43,43,endlich,1046
44,44,steht,1018
45,45,wohl,1014
46,46,corona,1008
47,47,genau,976
48,48,spahn,964
49,49,davon,961
50,50,thema,953
51,51,wer,952
52,52,warum,932
53,53,tun,930
54,54,eher,920
55,55,besser,907
56,56,menschen,894
57,57,kommen,888
58,58,zahlen,884
59,59,eigentlich,876
60,60,gibt,869
61,61,sicher,865
62,62,immer,854
63,63,schon,841
64,64,wirklich,838
65,65,sollten,830
66,66,zeit,813
67,67,wäre,807
68,68,ab,792
69,69,btw,785
70,70,impfen,784
71,71,cdu,777
72,72,kommt,771
73,73,wahl,762
74,74,schulen,756
75,75,wissen,756
76,76,lassen,754
77,77,stimmt,752
78,78,kinder,743
79,79,recht,742
80,80,macht,740
81,81,söder,730
82,82,braucht,720
83,83,frage,707
84,84,gar,706
85,85,grünen,704
86,86,gehen,700
87,87,laschet,683
88,88,covid,681
89,89,spd,679
90,90,ganz,678
91,91,neue,676
92,92,sieht,660
93,93,brauchen,646
94,94,nein,640
95,95,müssen,639
96,96,mal,636
97,97,natürlich,636
98,98,klar,635
99,99,sagen,630
