,index,word,count
0,0,müssen,2760
1,1,hätte,2712
2,2,tun,2004
3,3,einfach,1741
4,4,ganz,1290
5,5,legalisierung,1089
6,6,regierung,1003
7,7,richtig,829
8,8,impfpflicht,826
9,9,weiß,741
10,10,thema,727
11,11,jahr,696
12,12,jahren,637
13,13,warum,633
14,14,gibt,620
15,15,koalitionsvertrag,608
16,16,wann,605
17,17,sehen,602
18,18,klar,584
19,19,davon,579
20,20,wäre,574
21,21,impfung,572
22,22,kommt,571
23,23,wirklich,558
24,24,eher,544
25,25,wohl,510
26,26,parteien,503
27,27,fdp,499
28,28,lockdown,493
29,29,viele,490
30,30,herr,489
31,31,eben,487
32,32,nein,476
33,33,wer,476
34,34,nichtverhandelbar,453
35,35,amp,443
36,36,klimaschutz,439
37,37,staat,437
38,38,sagen,434
39,39,geld,433
40,40,gut,431
41,41,steuern,429
42,42,jahre,429
43,43,geht,429
44,44,freiheit,424
45,45,partei,416
46,46,sollten,411
47,47,zahlen,409
48,48,vielleicht,408
49,49,wurde,406
50,50,halt,400
51,51,frage,396
52,52,beim,392
53,53,lindner,388
54,54,gerne,388
55,55,braucht,381
56,56,schon,377
57,57,immer,375
58,58,geben,367
59,59,politik,365
60,60,steht,365
61,61,gar,364
62,62,deutschland,359
63,63,genau,355
64,64,eigentlich,354
65,65,kommen,352
66,66,brauchen,351
67,67,maßnahmen,348
68,68,besser,344
69,69,afd,344
70,70,impfen,335
71,71,spd,334
72,72,lassen,332
73,73,gehen,328
74,74,recht,326
75,75,zeit,325
76,76,ampel,324
77,77,erst,320
78,78,seit,319
79,79,leben,317
80,80,ab,317
81,81,bitte,314
82,82,sieht,307
83,83,weniger,306
84,84,darf,305
85,85,grünen,304
86,86,sicher,303
87,87,kinder,299
88,88,dafür,296
89,89,menschen,295
90,90,sagt,295
91,91,gerade,292
92,92,mal,291
93,93,stimmt,290
94,94,macht,290
95,95,natürlich,286
96,96,corona,286
97,97,cdu,284
98,98,markt,283
99,99,ja,281
