,index,word,count
0,0,grünen,2294
1,1,kommt,1744
2,2,neue,1505
3,3,beim,1468
4,4,gut,1201
5,5,wirklich,915
6,6,fdp,896
7,7,vielleicht,752
8,8,lassen,745
9,9,sicher,653
10,10,zeit,652
11,11,weniger,650
12,12,seit,580
13,13,kommen,575
14,14,amp,527
15,15,endlich,516
16,16,einfach,513
17,17,frage,513
18,18,ja,510
19,19,eigentlich,506
20,20,gerade,501
21,21,viele,485
22,22,partei,461
23,23,gerne,459
24,24,jahr,453
25,25,darf,450
26,26,herr,442
27,27,eben,435
28,28,leben,432
29,29,ab,426
30,30,grün,423
31,31,brauchen,420
32,32,btw,419
33,33,klimaschutz,413
34,34,wohl,409
35,35,natürlich,405
36,36,kinder,404
37,37,eu,401
38,38,spd,400
39,39,macht,386
40,40,politik,382
41,41,sollten,371
42,42,recht,370
43,43,hätte,359
44,44,sehen,357
45,45,immer,356
46,46,wurde,356
47,47,wann,352
48,48,baerbock,351
49,49,halt,350
50,50,gar,343
51,51,frau,342
52,52,müssen,339
53,53,wer,338
54,54,deutschland,335
55,55,parteien,335
56,56,bitte,333
57,57,tun,331
58,58,legalisierung,326
59,59,besser,318
60,60,thema,315
61,61,cdu,315
62,62,steht,312
63,63,innen,310
64,64,weiß,304
65,65,jahren,303
66,66,wählen,303
67,67,schon,301
68,68,geben,300
69,69,regierung,297
70,70,afd,295
71,71,davon,295
72,72,menschen,292
73,73,cannabis,291
74,74,nein,289
75,75,wäre,289
76,76,sieht,284
77,77,dabei,282
78,78,warum,273
79,79,braucht,267
80,80,sagen,266
81,81,ganz,266
82,82,grüne,262
83,83,genau,262
84,84,eher,261
85,85,jahre,257
86,86,klar,254
87,87,wissen,248
88,88,gibt,237
89,89,geht,237
90,90,dafür,235
91,91,sagt,233
92,92,richtig,230
93,93,gesagt,230
94,94,mal,230
95,95,geld,226
96,96,erst,225
97,97,na,224
98,98,gehen,221
99,99,stimmt,220
