,index,word,count
0,0,nie,1366
1,1,weiß,862
2,2,geld,802
3,3,wohl,777
4,4,ganz,594
5,5,herr,508
6,6,steht,466
7,7,frage,461
8,8,afd,430
9,9,viele,414
10,10,parteien,383
11,11,wirklich,333
12,12,natürlich,327
13,13,nein,321
14,14,sagen,314
15,15,immer,310
16,16,erst,291
17,17,politik,287
18,18,zeit,276
19,19,linke,274
20,20,brauchen,264
21,21,gut,264
22,22,sicher,254
23,23,vielleicht,252
24,24,zahlen,251
25,25,macht,250
26,26,halt,248
27,27,fdp,246
28,28,besser,240
29,29,linken,236
30,30,partei,233
31,31,menschen,233
32,32,genau,233
33,33,bitte,232
34,34,jahren,231
35,35,kommen,231
36,36,leben,229
37,37,meinung,229
38,38,cdu,223
39,39,sagt,220
40,40,eher,217
41,41,sehen,213
42,42,einfach,210
43,43,na,210
44,44,richtig,209
45,45,ab,209
46,46,gar,205
47,47,bekommen,202
48,48,sed,201
49,49,leute,198
50,50,gerne,195
51,51,weniger,195
52,52,wählen,195
53,53,schon,194
54,54,deutschland,191
55,55,mal,190
56,56,geht,186
57,57,frau,186
58,58,sollten,185
59,59,wahl,183
60,60,grünen,181
61,61,seit,179
62,62,wagenknecht,178
63,63,wer,176
64,64,regierung,173
65,65,jahre,171
66,66,klar,171
67,67,wissen,171
68,68,ne,169
69,69,spd,169
70,70,kommt,167
71,71,beim,166
72,72,impfung,165
73,73,müssen,164
74,74,wäre,159
75,75,gibt,158
76,76,eben,157
77,77,tun,156
78,78,btw,155
79,79,eigentlich,154
80,80,jahr,153
81,81,recht,150
82,82,bundeswehr,145
83,83,hätte,142
84,84,gehen,141
85,85,thema,137
86,86,gerade,136
87,87,lassen,136
88,88,davon,135
89,89,impfen,135
90,90,dafür,134
91,91,wurde,131
92,92,ja,130
93,93,corona,130
94,94,geben,129
95,95,stimmt,128
96,96,innen,127
97,97,berlin,126
98,98,warum,125
99,99,amp,123
