,index,word,count
0,0,wieso,7618
1,1,wer,5667
2,2,eben,5251
3,3,steht,3933
4,4,macht,3255
5,5,beim,2985
6,6,booster,2742
7,7,gerade,2553
8,8,herr,2529
9,9,warum,2330
10,10,sagen,2271
11,11,weniger,2185
12,12,geben,2100
13,13,virus,2002
14,14,nein,1875
15,15,corona,1843
16,16,sieht,1813
17,17,bereits,1687
18,18,deutschland,1660
19,19,leute,1657
20,20,lockdown,1655
21,21,jahren,1654
22,22,davon,1636
23,23,bitte,1615
24,24,wäre,1613
25,25,tun,1606
26,26,karl,1592
27,27,wann,1588
28,28,lauterbach,1554
29,29,müssen,1517
30,30,impfstoff,1466
31,31,schon,1460
32,32,delta,1439
33,33,sicher,1397
34,34,zeit,1383
35,35,gibt,1369
36,36,mal,1342
37,37,eigentlich,1331
38,38,halt,1308
39,39,kommen,1302
40,40,variante,1276
41,41,impfungen,1274
42,42,covid,1269
43,43,erst,1243
44,44,darf,1240
45,45,ab,1240
46,46,recht,1222
47,47,jahre,1190
48,48,weiß,1174
49,49,impfen,1169
50,50,menschen,1168
51,51,sollten,1162
52,52,frage,1134
53,53,sehen,1133
54,54,geimpft,1107
55,55,wirklich,1096
56,56,zahlen,1089
57,57,sagt,1063
58,58,gar,1055
59,59,wochen,1036
60,60,impfung,1028
61,61,klar,1024
62,62,geht,1017
63,63,vielleicht,983
64,64,wissen,980
65,65,inzidenz,977
66,66,neue,973
67,67,schulen,973
68,68,einfach,967
69,69,spd,954
70,70,jahr,921
71,71,leben,901
72,72,lassen,899
73,73,wohl,899
74,74,genau,898
75,75,dafür,883
76,76,immer,880
77,77,hätte,877
78,78,endlich,877
79,79,gut,863
80,80,seit,863
81,81,nie,859
82,82,amp,853
83,83,ja,853
84,84,cdu,852
85,85,besser,849
86,86,ganz,846
87,87,natürlich,831
88,88,kinder,827
89,89,kommt,827
90,90,eher,814
91,91,gerne,800
92,92,viele,790
93,93,stimmt,777
94,94,richtig,776
95,95,pandemie,769
96,96,wurde,764
97,97,scholz,757
98,98,bekommen,756
99,99,gehen,755
