,word,count
0,menschen,7396
1,müssen,6922
2,schön,5368
3,jahren,4160
4,gute,3565
5,kommt,3179
6,corona,2896
7,gerade,2431
8,guter,2387
9,wäre,2384
10,partei,2360
11,lauterbach,2080
12,danke,2028
13,recht,2019
14,respekt,1876
15,fdp,1864
16,wohl,1822
17,freue,1814
18,deutschland,1763
19,erfolg,1673
20,politik,1637
21,super,1617
22,viele,1609
23,spd,1560
24,vielleicht,1533
25,arbeit,1485
26,merz,1482
27,gerne,1461
28,amp,1411
29,schon,1386
30,hoffe,1326
31,immer,1312
32,ganz,1309
33,wer,1263
34,ja,1259
35,klar,1258
36,lassen,1231
37,laschet,1197
38,leben,1195
39,herr,1183
40,warum,1158
41,einfach,1128
42,finde,1100
43,echt,1065
44,na,1026
45,frau,1020
46,wünsche,1013
47,bitte,995
48,zukunft,988
49,wurde,941
50,seit,940
51,wirklich,939
52,neue,928
53,natürlich,922
54,tolle,919
55,idee,907
56,sagen,898
57,jahre,894
58,glückwunsch,891
59,btw,888
60,gut,879
61,land,872
62,lieber,855
63,sehen,842
64,cdu,842
65,dafür,822
66,genau,812
67,toll,812
68,besser,810
69,hast,804
70,macht,803
71,frage,802
72,gemacht,793
73,regierung,790
74,gutes,786
75,freuen,781
76,endlich,768
77,herzlichen,766
78,dabei,760
79,politiker,758
80,glück,755
81,tag,742
82,beim,737
83,gibt,729
84,sicher,719
85,guten,715
86,beste,701
87,union,683
88,grünen,678
89,hätte,673
90,afd,672
91,liebe,672
92,richtig,667
93,wahl,659
94,dank,659
95,geht,652
96,mal,648
97,ab,628
98,zeit,626
99,vielen,623
