,word,count
0,gut,719
1,fdp,554
2,klar,463
3,sicher,338
4,freuen,337
5,toll,257
6,vielleicht,220
7,wohl,215
8,meinung,192
9,gibt,169
10,schön,168
11,laschet,164
12,wurde,164
13,union,160
14,pandemie,151
15,gerne,141
16,gute,139
17,macht,129
18,kommt,128
19,mal,126
20,respekt,122
21,wäre,122
22,leben,120
23,söder,116
24,liebe,113
25,hätte,112
26,amp,111
27,herr,110
28,rede,107
29,genau,106
30,btw,105
31,finde,104
32,warum,102
33,cdu,94
34,freue,94
35,schon,91
36,worte,89
37,frau,89
38,kohl,89
39,gerade,87
40,hoffe,86
41,ja,83
42,sagen,82
43,wer,82
44,lauterbach,82
45,na,82
46,einfach,81
47,danke,80
48,wahl,80
49,müssen,78
50,guter,78
51,afd,76
52,dank,76
53,vielen,76
54,schulen,76
55,wünsche,74
56,grünen,74
57,besser,74
58,glückwunsch,73
59,seit,72
60,erfolg,72
61,immer,72
62,arbeit,72
63,gemacht,72
64,politik,71
65,glück,69
66,menschen,69
67,beste,69
68,zeit,69
69,idee,69
70,dafür,68
71,corona,67
72,kanzler,67
73,dabei,67
74,partei,67
75,endlich,65
76,super,63
77,spd,62
78,kanzlerkandidat,61
79,gehen,61
80,frage,60
81,kinder,60
82,tag,60
83,politiker,60
84,richtig,59
85,guten,59
86,natürlich,59
87,lieber,58
88,wirklich,57
89,hören,57
90,herzlichen,57
91,viele,57
92,ganz,57
93,sehen,55
94,deutschland,55
95,geht,55
96,recht,55
97,lanz,54
98,ab,53
99,bitte,53
