,word,count
0,erfolg,699
1,schon,542
2,klar,512
3,union,376
4,kanzler,270
5,ja,245
6,afd,231
7,frau,217
8,wäre,211
9,glück,197
10,hast,196
11,na,188
12,jahren,179
13,kommt,178
14,leben,173
15,ganz,167
16,politik,166
17,gerne,162
18,lieber,159
19,gerade,155
20,schön,145
21,liebe,135
22,stimme,132
23,regierung,132
24,gut,129
25,besser,125
26,tolle,122
27,leute,122
28,ne,121
29,hätte,119
30,immer,117
31,geht,112
32,seit,110
33,toll,107
34,btw,107
35,dafür,105
36,land,105
37,gibt,103
38,genau,103
39,eigentlich,102
40,macht,101
41,sagt,100
42,gute,95
43,grün,93
44,herr,93
45,amp,92
46,zeit,88
47,dabei,87
48,wählen,87
49,finde,85
50,respekt,82
51,fdp,81
52,sicher,80
53,warum,79
54,nrw,77
55,wirklich,77
56,steht,76
57,natürlich,76
58,gemacht,74
59,richtig,74
60,einfach,74
61,kommen,74
62,mal,73
63,gutes,72
64,echt,71
65,vielen,71
66,danke,70
67,grünen,69
68,wahlkampf,68
69,richtige,67
70,scholz,67
71,wer,66
72,spd,66
73,wahl,66
74,triell,65
75,viele,65
76,armin,65
77,wähler,65
78,idee,65
79,sagen,64
80,nie,63
81,guten,63
82,endlich,63
83,dank,63
84,guter,62
85,ab,61
86,menschen,61
87,wohl,60
88,vielleicht,59
89,super,59
90,beste,57
91,partei,56
92,bitte,56
93,deutschland,56
94,laschet,55
95,beim,55
96,cdu,55
97,recht,55
98,müssen,55
99,lassen,55
