,word,count
0,genau,1219
1,zeit,925
2,frau,829
3,herzlichen,802
4,ampel,686
5,glückwunsch,610
6,erfolg,575
7,klar,477
8,vielen,444
9,einfach,397
10,ab,383
11,gewählt,354
12,ganz,325
13,opposition,294
14,richtig,282
15,partei,258
16,fdp,252
17,weihnachten,252
18,afd,249
19,recht,242
20,merz,236
21,dabei,229
22,guter,227
23,spd,220
24,hätte,219
25,dafür,216
26,lauterbach,215
27,beste,213
28,freue,209
29,jahren,208
30,zukunft,202
31,menschen,200
32,liebe,193
33,geht,187
34,neuen,176
35,sehen,172
36,mal,171
37,gemeinsam,166
38,gratulation,165
39,beim,163
40,deutschland,162
41,neue,160
42,herr,155
43,viele,152
44,immer,152
45,kommt,150
46,spdbpt,148
47,endlich,144
48,danke,144
49,gerne,143
50,lassen,143
51,lieber,142
52,super,135
53,friedrich,132
54,leben,131
55,macht,129
56,gerade,127
57,besser,125
58,mitglieder,124
59,finde,124
60,wünsche,123
61,gute,121
62,jahre,121
63,arbeit,120
64,glück,119
65,bitte,119
66,ergebnis,118
67,wer,118
68,cdu,116
69,wahl,113
70,regierung,111
71,wirklich,108
72,land,107
73,dank,106
74,sicher,106
75,ja,103
76,toll,102
77,hast,96
78,jahr,96
79,cduvorsitz,95
80,gutes,94
81,amp,93
82,freut,93
83,schön,92
84,respekt,92
85,hoffe,92
86,zusammenarbeit,91
87,gemacht,91
88,gut,90
89,politik,90
90,freuen,89
91,merkel,89
92,wäre,89
93,hoffentlich,88
94,tag,88
95,gibt,88
96,schon,87
97,guten,86
98,na,86
99,union,86
