,word,count
0,pandemie,506
1,dabei,474
2,wünsche,337
3,respekt,269
4,zeit,220
5,politik,212
6,ganz,180
7,richtig,178
8,idee,173
9,wissen,158
10,schulen,150
11,genau,144
12,wäre,134
13,ab,132
14,schon,126
15,frau,121
16,mal,121
17,erst,120
18,recht,113
19,ja,109
20,erfolg,107
21,gibt,107
22,dafür,106
23,glück,106
24,tun,105
25,viele,102
26,grünen,99
27,herzlichen,93
28,herr,93
29,yestonocovid,90
30,einfach,89
31,natürlich,86
32,hätte,84
33,politiker,84
34,bitte,79
35,leider,78
36,impfstoff,77
37,liebe,76
38,fangteinfachan,75
39,lockdown,74
40,na,71
41,arbeit,71
42,macht,71
43,gerade,70
44,toll,70
45,gemacht,69
46,menschen,69
47,cdu,69
48,immer,69
49,gut,66
50,frage,65
51,wirklich,65
52,lassen,65
53,müssen,64
54,seit,64
55,bleiben,63
56,deutschland,63
57,hoffe,63
58,tatsächlich,60
59,super,60
60,endlich,60
61,klar,59
62,gehen,59
63,lauterbach,59
64,vielen,59
65,guten,58
66,wer,56
67,fdp,56
68,gute,56
69,lieben,55
70,wohl,54
71,geht,54
72,dank,53
73,nocovid,53
74,corona,53
75,gutes,51
76,finde,50
77,sagen,50
78,vielleicht,49
79,beim,49
80,beste,48
81,jahr,48
82,sehen,47
83,lieber,47
84,teamlauterbach,47
85,warum,46
86,spd,46
87,glückwunsch,46
88,tag,45
89,partei,45
90,besser,45
91,amp,44
92,schön,44
93,guter,43
94,gerne,43
95,leben,43
96,danke,43
97,freue,43
98,wichtig,42
99,kommt,42
