,word,count
0,kommt,429
1,herr,402
2,guten,332
3,wünsche,263
4,afd,251
5,besser,213
6,glück,188
7,jetztvoran,172
8,wäre,154
9,recht,144
10,zeit,144
11,echt,136
12,dank,136
13,ergebnis,128
14,kommen,125
15,na,124
16,gerne,124
17,viele,123
18,finde,120
19,grüße,117
20,richtig,117
21,steht,114
22,freue,114
23,genau,111
24,amp,106
25,erfolg,102
26,guter,101
27,wer,99
28,wegenmorgen,98
29,welt,96
30,natürlich,94
31,sehen,90
32,fdp,89
33,cduvorsitz,87
34,müssen,86
35,deutschland,85
36,merkel,84
37,mal,82
38,corona,79
39,gemacht,79
40,politiker,76
41,schon,75
42,gutes,74
43,mann,72
44,lieber,71
45,geben,70
46,geht,68
47,land,68
48,sicher,68
49,toll,68
50,endlich,65
51,laschet,65
52,vielleicht,65
53,gibt,63
54,beste,63
55,klar,62
56,zukunft,62
57,morgen,62
58,ganz,60
59,schön,60
60,menschen,59
61,hoffe,58
62,herzlichen,58
63,spd,58
64,glückwunsch,56
65,merz,56
66,wirklich,56
67,cdu,56
68,beim,55
69,grünen,55
70,idee,55
71,ja,55
72,politik,54
73,röttgen,54
74,sagen,53
75,liebe,53
76,freuen,52
77,klasse,52
78,einfach,51
79,immer,50
80,vielen,50
81,frau,50
82,cdupt,50
83,gut,49
84,arbeit,49
85,bitte,49
86,frage,48
87,parteitag,47
88,partei,46
89,dafür,46
90,wahl,46
91,team,46
92,super,46
93,dabei,46
94,macht,45
95,ab,45
96,gerade,45
97,gute,44
98,danke,44
99,hätte,44
