,word,count
0,land,424
1,guter,416
2,herr,356
3,dabei,259
4,corona,196
5,besser,176
6,müssen,131
7,btw,131
8,cdu,123
9,richtig,119
10,wirklich,118
11,danke,114
12,kinder,114
13,amp,114
14,zeit,113
15,endlich,113
16,wahlkampf,104
17,schönen,102
18,glück,94
19,deutschland,94
20,dank,88
21,tolle,86
22,gibt,85
23,afd,79
24,schön,76
25,wäre,76
26,gar,75
27,echt,74
28,sehen,72
29,gemacht,71
30,beim,70
31,lassen,68
32,sicher,68
33,vielen,67
34,stimmt,65
35,respekt,65
36,wissen,64
37,wünsche,63
38,grünen,62
39,liebe,61
40,ja,60
41,sagt,60
42,gut,59
43,idee,58
44,hätte,57
45,thema,57
46,schon,55
47,toll,55
48,glückwunsch,54
49,guten,54
50,weiß,54
51,beste,54
52,mal,53
53,wohl,53
54,lieber,53
55,genau,52
56,ganz,51
57,erfolg,51
58,einfach,50
59,ab,50
60,klimaschutz,50
61,recht,49
62,gerne,49
63,klar,49
64,geld,48
65,dafür,48
66,eigentlich,48
67,bitte,47
68,menschen,47
69,freue,45
70,laschet,45
71,jahren,45
72,spd,45
73,fdp,44
74,frau,44
75,gerade,43
76,immer,43
77,na,43
78,partei,43
79,staffeln,42
80,gute,42
81,steht,42
82,klasse,42
83,natürlich,42
84,wer,40
85,macht,40
86,super,40
87,tun,39
88,hast,39
89,geht,39
90,seit,39
91,kommen,39
92,viele,39
93,finde,39
94,leben,38
95,hoffe,38
96,impfung,38
97,politik,38
98,vielleicht,37
99,kommt,37
