,word,count
0,mal,577
1,finde,497
2,deutschland,414
3,ab,310
4,klasse,260
5,herr,259
6,schön,171
7,tun,169
8,natürlich,153
9,impfung,153
10,gutes,150
11,richtig,149
12,glückwunsch,145
13,glück,145
14,guter,144
15,stimmt,141
16,respekt,134
17,jahren,118
18,endlich,118
19,gibt,116
20,grünen,115
21,hätte,111
22,dafür,109
23,lieber,108
24,sehen,108
25,besser,98
26,freuen,96
27,schon,95
28,kommt,94
29,politik,94
30,gut,94
31,frage,93
32,na,91
33,lauterbach,90
34,freue,88
35,einfach,85
36,vielleicht,82
37,menschen,82
38,wirklich,82
39,danke,79
40,sagt,78
41,dankekarl,77
42,guten,75
43,idee,75
44,warum,73
45,partei,73
46,wünsche,71
47,arbeit,70
48,gerne,69
49,wohl,69
50,beim,68
51,cdu,68
52,jahre,68
53,lassen,68
54,kinder,68
55,tag,67
56,echt,66
57,hoffe,65
58,gute,64
59,land,64
60,geht,61
61,kommen,61
62,fdp,59
63,bitte,59
64,beste,59
65,pandemie,58
66,genau,58
67,vielen,57
68,zeit,57
69,immer,57
70,fleisch,55
71,klar,55
72,gemacht,55
73,ja,55
74,leben,54
75,dank,53
76,macht,53
77,spd,53
78,viele,53
79,super,52
80,ganz,52
81,mann,52
82,eigentlich,51
83,afd,51
84,dankelauterbach,51
85,frau,51
86,recht,51
87,wäre,50
88,sicher,50
89,btw,50
90,dabei,50
91,seit,50
92,wer,50
93,sagen,48
94,liebe,48
95,ronaldo,48
96,sieht,48
97,herzlichen,46
98,toll,46
99,amp,46
