,word,count
0,na,633
1,freuen,559
2,gerade,438
3,hast,368
4,natürlich,279
5,macht,254
6,frau,239
7,corona,200
8,liebe,199
9,schön,198
10,lauterbach,197
11,arbeit,194
12,politik,172
13,richtig,164
14,seit,158
15,volle,157
16,groko,156
17,politiker,155
18,guten,151
19,gut,149
20,klar,145
21,schon,143
22,us,140
23,wohl,137
24,ganz,136
25,immer,136
26,solidarität,134
27,frage,132
28,hätte,130
29,geht,128
30,dank,125
31,gt,125
32,deutschland,122
33,wünsche,118
34,gemacht,115
35,land,115
36,super,113
37,einfach,112
38,herr,107
39,lassen,106
40,bitte,103
41,dafür,102
42,mal,101
43,gute,101
44,vielleicht,99
45,ja,98
46,wirklich,97
47,besser,97
48,warum,97
49,ab,96
50,wissen,96
51,stehen,94
52,guter,93
53,zeit,91
54,stark,90
55,cdu,85
56,glück,83
57,tolle,82
58,hoffe,81
59,kommt,78
60,pandemie,77
61,danke,77
62,finde,75
63,spahn,74
64,bleiben,73
65,afd,71
66,wer,71
67,dabei,71
68,amp,71
69,viele,71
70,leben,70
71,respekt,69
72,gerne,67
73,spd,66
74,recht,66
75,sicher,66
76,impfen,65
77,erfolg,64
78,partei,64
79,endlich,64
80,sagen,64
81,herzlichen,63
82,müssen,62
83,fdp,61
84,idee,61
85,loveisnottourism,61
86,hören,61
87,sollten,61
88,impfung,60
89,help,59
90,glückwunsch,59
91,meinung,59
92,vielen,58
93,lieber,57
94,seehofer,57
95,toll,56
96,menschen,56
97,gibt,54
98,genau,53
99,wäre,52
