,word,count
0,schon,552
1,sehen,485
2,guter,339
3,land,309
4,sagen,282
5,idee,224
6,dafür,224
7,frau,223
8,leben,182
9,cdu,179
10,natürlich,172
11,mal,161
12,deutschland,155
13,beste,148
14,wer,146
15,wäre,133
16,macht,132
17,glückwunsch,131
18,beim,121
19,grünen,118
20,seit,117
21,vielleicht,117
22,tolle,114
23,arbeit,111
24,ja,108
25,gute,104
26,frage,103
27,wichtig,101
28,eigentlich,100
29,erfolg,98
30,richtig,98
31,gerade,96
32,zeit,92
33,ganz,86
34,afd,86
35,dank,85
36,besser,85
37,endlich,85
38,viele,82
39,guten,82
40,kinder,80
41,finde,78
42,schön,77
43,gibt,76
44,politik,76
45,partei,71
46,weiß,71
47,zukunft,70
48,fdp,68
49,btw,67
50,innen,67
51,gemacht,67
52,thema,64
53,corona,64
54,danke,63
55,lassen,62
56,einfach,62
57,glück,61
58,freue,61
59,stark,61
60,wahlkampf,61
61,lanz,60
62,wohl,60
63,herzlichen,59
64,spd,59
65,respekt,59
66,geht,58
67,gerne,58
68,liebe,57
69,müssen,57
70,amp,56
71,hätte,56
72,vielzutun,55
73,echt,53
74,recht,53
75,na,52
76,super,52
77,immer,52
78,toll,51
79,warum,51
80,sicher,50
81,lieber,50
82,herr,49
83,wirklich,49
84,wahlprogramm,49
85,freut,49
86,genau,48
87,wahl,47
88,menschen,47
89,hast,46
90,wurde,45
91,wissen,44
92,wünsche,44
93,bitte,43
94,gut,43
95,vielen,43
96,wählen,43
97,hoffe,43
98,dabei,43
99,bpt,43
