,word,count
0,ja,765
1,einfach,544
2,herzlichen,485
3,besser,398
4,immer,307
5,wer,255
6,glück,233
7,seit,225
8,gemacht,206
9,wohl,189
10,richtig,177
11,pandemie,166
12,idee,157
13,genau,156
14,koalitionsvertrag,152
15,viele,143
16,danke,139
17,herr,135
18,ganz,131
19,mal,131
20,macht,130
21,hast,129
22,vielen,129
23,freiheit,118
24,lauterbach,114
25,vielleicht,114
26,meinung,114
27,schön,113
28,zeit,112
29,spd,110
30,gerade,109
31,finde,109
32,müssen,108
33,mann,108
34,dank,107
35,lassen,101
36,worte,99
37,menschen,99
38,impfen,98
39,schon,94
40,lieber,93
41,wurde,92
42,liebe,91
43,jahre,91
44,wäre,89
45,innen,89
46,gibt,88
47,politik,84
48,regierung,82
49,neue,82
50,guter,82
51,gute,82
52,beim,80
53,cdu,80
54,natürlich,79
55,wagenknecht,79
56,kommt,77
57,tolle,76
58,sagen,76
59,corona,76
60,erfolg,76
61,fdp,74
62,gerne,74
63,beste,70
64,hätte,68
65,gut,68
66,tun,67
67,wirklich,65
68,recht,65
69,leben,65
70,respekt,65
71,politiker,64
72,frau,64
73,impfung,64
74,land,61
75,karl,59
76,endlich,58
77,freuen,58
78,geht,58
79,ampel,58
80,jahren,58
81,wirwollenkarl,57
82,bekommen,56
83,amp,56
84,toll,56
85,deutschland,56
86,partei,56
87,super,55
88,na,55
89,dafür,55
90,gesundheitsminister,55
91,sicher,54
92,glückwunsch,54
93,guten,54
94,tag,54
95,sehen,53
96,hoffe,53
97,bleiben,52
98,bitte,52
99,wünsche,52
