,word,count
0,lauterbach,579
1,kommt,567
2,politik,424
3,hätte,342
4,respekt,301
5,lieber,298
6,sagen,268
7,land,218
8,hallo,196
9,freue,184
10,wirtschaft,181
11,herzlichen,176
12,bundesregierung,168
13,endlich,168
14,tag,164
15,beim,160
16,klima,151
17,einfach,150
18,spd,149
19,chance,146
20,geht,145
21,recht,145
22,hoffe,144
23,wissen,143
24,sehen,142
25,legalisierung,141
26,viele,138
27,doku,137
28,genau,137
29,zeit,131
30,guten,131
31,arbeit,129
32,union,126
33,klimaschutz,119
34,freuen,116
35,gemacht,112
36,gerade,112
37,wirklich,103
38,neue,101
39,danke,99
40,afd,97
41,besser,93
42,na,93
43,dafür,92
44,glück,88
45,schon,88
46,dankekarl,88
47,gute,87
48,schön,86
49,wahlkampf,86
50,ganz,85
51,herr,84
52,bitte,84
53,wahl,84
54,fdp,83
55,koalitionsvertrag,82
56,vielen,82
57,grünen,81
58,glückwunsch,81
59,partei,79
60,sicher,75
61,ampel,74
62,erfolg,74
63,wünsche,73
64,gibt,73
65,mal,71
66,cdu,71
67,super,71
68,wohl,70
69,immer,69
70,brauchen,69
71,gerne,69
72,dabei,68
73,richtig,68
74,jahre,68
75,liebe,68
76,guter,67
77,cannabis,66
78,idee,66
79,lebenswerte,65
80,finde,65
81,lassen,64
82,jahren,64
83,nichtverhandelbar,64
84,wäre,64
85,klar,63
86,zukunft,63
87,dank,62
88,menschen,61
89,mutig,61
90,ja,61
91,amp,60
92,macht,60
93,regierung,60
94,frau,60
95,tempolimit,60
96,deutschland,59
97,gut,59
98,sondierungen,58
99,leben,58
