,word,count
0,wirklich,896
1,geht,868
2,land,693
3,vielleicht,586
4,beste,532
5,arbeit,524
6,olaf,469
7,beim,413
8,lieber,377
9,deutschland,370
10,ergebnis,363
11,richtig,338
12,gibt,315
13,gemacht,302
14,ganz,285
15,ab,283
16,dank,258
17,mal,255
18,super,247
19,glückwunsch,244
20,guter,236
21,genau,232
22,gut,227
23,kommt,226
24,amp,224
25,danke,220
26,na,219
27,liebe,209
28,cdu,195
29,dafür,191
30,guten,183
31,ja,183
32,wahlkampf,183
33,immer,182
34,klar,179
35,partei,175
36,laschet,174
37,wäre,173
38,kanzler,171
39,glück,168
40,sehen,166
41,btw,162
42,wer,161
43,macht,158
44,politik,157
45,regierung,156
46,grünen,155
47,besten,154
48,sagen,152
49,natürlich,149
50,hoffe,148
51,jahren,144
52,gerne,143
53,bitte,141
54,freue,139
55,stimme,138
56,recht,135
57,frau,134
58,schön,131
59,mann,131
60,schon,129
61,gewählt,126
62,wünsche,125
63,toll,124
64,jahre,124
65,sicher,123
66,endlich,120
67,herr,120
68,zeit,119
69,gerade,118
70,innen,116
71,berlin,113
72,wähler,112
73,einfach,112
74,scholz,110
75,habt,107
76,respekt,107
77,viele,106
78,zukunft,106
79,herzlichen,106
80,triell,105
81,erfolg,105
82,wohl,104
83,armin,102
84,spd,101
85,bundestagswahl,100
86,hast,100
87,hätte,99
88,finde,97
89,vielen,96
90,afd,96
91,union,96
92,müssen,95
93,fdp,93
94,besser,92
95,menschen,92
96,warum,91
97,gute,89
98,wählen,88
99,wahl,88
