,index,word,count
0,0,beste,496
1,1,gibt,470
2,2,wünsche,464
3,3,zeit,365
4,4,ach,306
5,5,viele,254
6,6,amp,193
7,7,besserung,181
8,8,macht,169
9,9,menschen,160
10,10,gutes,158
11,11,na,129
12,12,weidel,123
13,13,brandner,120
14,14,besten,112
15,15,wäre,112
16,16,hätte,112
17,17,mal,108
18,18,guter,107
19,19,sicher,103
20,20,gerne,103
21,21,bleiben,101
22,22,politik,95
23,23,finde,95
24,24,glückwunsch,94
25,25,gemacht,93
26,26,partei,92
27,27,stolz,90
28,28,vielen,89
29,29,meinung,88
30,30,idee,87
31,31,klar,86
32,32,deutschland,79
33,33,welt,76
34,34,wahl,73
35,35,wohl,71
36,36,politiker,71
37,37,dafür,70
38,38,besser,69
39,39,tweet,67
40,40,klasse,66
41,41,liebe,65
42,42,erfolg,64
43,43,kommt,63
44,44,immer,62
45,45,stimme,61
46,46,afd,57
47,47,warum,57
48,48,frau,56
49,49,ganz,55
50,50,sagen,55
51,51,land,53
52,52,endlich,53
53,53,freuen,52
54,54,alice,52
55,55,mann,52
56,56,dank,51
57,57,lassen,51
58,58,glück,51
59,59,hast,51
60,60,wirklich,50
61,61,fckafd,49
62,62,super,49
63,63,guten,49
64,64,hoffe,49
65,65,bitte,47
66,66,richtig,46
67,67,respekt,45
68,68,ja,45
69,69,schon,45
70,70,nie,44
71,71,gut,44
72,72,freut,44
73,73,arbeit,44
74,74,müssen,44
75,75,dabei,44
76,76,echt,43
77,77,meuthen,43
78,78,recht,43
79,79,schön,42
80,80,antwort,42
81,81,sehen,42
82,82,herr,42
83,83,geht,42
84,84,tolle,41
85,85,tag,41
86,86,noafd,41
87,87,einfach,40
88,88,gute,40
89,89,wählen,40
90,90,punkt,40
91,91,genau,39
92,92,danke,39
93,93,rede,39
94,94,vielleicht,39
95,95,leben,39
96,96,grünen,38
97,97,herzlichen,38
98,98,toll,37
99,99,schönen,37
