,index,word,count
0,0,wahlkampf,2171
1,1,ja,2162
2,2,danke,1882
3,3,respekt,1743
4,4,wünsche,1360
5,5,genau,1158
6,6,ab,1056
7,7,schön,1038
8,8,cdu,924
9,9,land,841
10,10,gerne,807
11,11,spd,769
12,12,corona,754
13,13,richtig,694
14,14,merkel,657
15,15,warum,613
16,16,politik,578
17,17,macht,565
18,18,einfach,559
19,19,beim,551
20,20,finde,544
21,21,herr,544
22,22,immer,541
23,23,politiker,523
24,24,hätte,512
25,25,cduvorsitz,487
26,26,freue,472
27,27,besser,459
28,28,ganz,436
29,29,dabei,420
30,30,armin,415
31,31,jahre,405
32,32,menschen,392
33,33,super,389
34,34,sagen,386
35,35,bayern,382
36,36,gute,377
37,37,vielen,375
38,38,lieber,372
39,39,geht,371
40,40,gerade,365
41,41,grünen,363
42,42,zeit,363
43,43,seit,354
44,44,söder,340
45,45,arbeit,327
46,46,klar,321
47,47,wahl,320
48,48,sicher,317
49,49,gibt,315
50,50,amp,305
51,51,ergebnis,303
52,52,idee,300
53,53,opposition,298
54,54,glück,297
55,55,glückwunsch,290
56,56,wirklich,285
57,57,btw,285
58,58,spahn,283
59,59,kanzler,282
60,60,müssen,281
61,61,union,280
62,62,gemacht,280
63,63,mal,279
64,64,endlich,277
65,65,dafür,276
66,66,freuen,276
67,67,herzlichen,273
68,68,guter,271
69,69,lassen,270
70,70,dank,269
71,71,vielleicht,269
72,72,wer,268
73,73,merz,268
74,74,bitte,267
75,75,wäre,264
76,76,guten,264
77,77,schon,263
78,78,beste,262
79,79,deutschland,258
80,80,hoffe,257
81,81,toll,250
82,82,tag,249
83,83,wohl,248
84,84,gut,243
85,85,wurde,240
86,86,jahren,237
87,87,mann,236
88,88,viele,235
89,89,laschet,234
90,90,zukunft,233
91,91,natürlich,232
92,92,partei,227
93,93,csu,224
94,94,recht,221
95,95,erfolg,221
96,96,frau,221
97,97,na,218
98,98,liebe,216
99,99,kommt,214
