,index,word,count
0,0,dafür,949
1,1,partei,934
2,2,neue,824
3,3,finde,703
4,4,ampel,529
5,5,dabei,492
6,6,wünsche,391
7,7,dank,365
8,8,legalisierung,352
9,9,klar,282
10,10,herzlichen,276
11,11,guten,272
12,12,wahlprogramm,261
13,13,guter,245
14,14,zeit,245
15,15,leben,231
16,16,glück,228
17,17,ja,219
18,18,hoffe,217
19,19,liebe,214
20,20,freuen,210
21,21,gut,209
22,22,schon,209
23,23,wurde,206
24,24,kommt,205
25,25,frau,203
26,26,gute,199
27,27,geht,199
28,28,endlich,197
29,29,bleiben,196
30,30,sagen,187
31,31,freue,186
32,32,wirtschaft,184
33,33,beste,176
34,34,sicher,173
35,35,bpt,169
36,36,brauchen,168
37,37,erfolg,164
38,38,regierung,153
39,39,jahren,152
40,40,mal,152
41,41,vielzutun,150
42,42,seit,150
43,43,spd,146
44,44,super,145
45,45,lieber,143
46,46,glückwunsch,138
47,47,menschen,131
48,48,gibt,130
49,49,beim,129
50,50,wahl,128
51,51,wer,128
52,52,lebenswerte,127
53,53,besser,126
54,54,gerade,120
55,55,danke,119
56,56,wahlkampf,118
57,57,cdu,117
58,58,fdp,117
59,59,macht,116
60,60,land,114
61,61,steht,114
62,62,ganz,112
63,63,wäre,110
64,64,natürlich,108
65,65,lindner,107
66,66,deutschland,107
67,67,thema,106
68,68,hätte,106
69,69,einfach,106
70,70,wissen,104
71,71,wohl,104
72,72,recht,102
73,73,bitte,100
74,74,schön,100
75,75,toll,100
76,76,freiheit,99
77,77,gerne,98
78,78,wirklich,97
79,79,richtig,96
80,80,na,95
81,81,genau,94
82,82,sehen,94
83,83,nichtverhandelbar,93
84,84,vielen,93
85,85,idee,92
86,86,amp,92
87,87,politik,91
88,88,gemacht,88
89,89,zukunft,88
90,90,viele,88
91,91,vielleicht,88
92,92,tag,87
93,93,parteien,85
94,94,müssen,84
95,95,btw,84
96,96,gutes,83
97,97,herr,82
98,98,immer,82
99,99,grünen,82
