,index,word,count
0,0,cdu,822
1,1,natürlich,758
2,2,tolle,587
3,3,einfach,458
4,4,kinder,458
5,5,deutschland,367
6,6,gemacht,361
7,7,btw,339
8,8,fdp,252
9,9,kommt,249
10,10,amp,249
11,11,gut,242
12,12,gutes,230
13,13,klar,215
14,14,wer,211
15,15,danke,207
16,16,habeck,205
17,17,gerne,200
18,18,besser,194
19,19,hätte,192
20,20,genau,185
21,21,mal,178
22,22,hoffe,175
23,23,glück,169
24,24,herr,167
25,25,innen,166
26,26,vielen,163
27,27,müssen,163
28,28,jahren,157
29,29,sieht,156
30,30,tun,151
31,31,frau,150
32,32,guter,150
33,33,wirklich,142
34,34,dabei,138
35,35,schon,138
36,36,ja,135
37,37,partei,133
38,38,vielleicht,132
39,39,idee,128
40,40,freue,127
41,41,sicher,127
42,42,cannabis,127
43,43,neue,127
44,44,weniger,123
45,45,ganz,115
46,46,schön,113
47,47,gibt,112
48,48,politik,109
49,49,gute,109
50,50,baerbock,108
51,51,recht,108
52,52,seit,104
53,53,macht,102
54,54,gerade,100
55,55,endlich,99
56,56,wahl,98
57,57,leben,98
58,58,beste,98
59,59,toll,98
60,60,liebe,97
61,61,guten,97
62,62,hast,96
63,63,finde,95
64,64,glückwunsch,95
65,65,grün,95
66,66,super,95
67,67,zukunft,95
68,68,dank,95
69,69,klimaschutz,92
70,70,legalisierung,92
71,71,spd,91
72,72,zeit,91
73,73,lassen,90
74,74,lieber,89
75,75,grüne,87
76,76,viele,87
77,77,regierung,86
78,78,warum,85
79,79,menschen,85
80,80,land,85
81,81,ab,83
82,82,erfolg,80
83,83,respekt,80
84,84,cem,80
85,85,wünsche,80
86,86,richtig,79
87,87,wählen,79
88,88,geht,76
89,89,arbeit,76
90,90,wäre,75
91,91,na,74
92,92,kommen,74
93,93,bitte,74
94,94,grünen,74
95,95,özdemir,74
96,96,freuen,73
97,97,dafür,72
98,98,herzlichen,72
99,99,immer,71
