,index,word,count
0,0,vielleicht,491
1,1,hast,426
2,2,politik,319
3,3,amp,238
4,4,partei,226
5,5,sahra,217
6,6,linken,201
7,7,afd,197
8,8,wohl,170
9,9,herr,153
10,10,gerade,148
11,11,danke,145
12,12,gibt,134
13,13,hoffe,128
14,14,gemacht,128
15,15,dank,124
16,16,wünsche,122
17,17,beste,121
18,18,sagen,117
19,19,geht,114
20,20,respekt,113
21,21,einfach,108
22,22,jahren,107
23,23,macht,106
24,24,genau,105
25,25,geben,103
26,26,wissen,101
27,27,super,92
28,28,stimme,91
29,29,welt,91
30,30,meinung,90
31,31,wählen,81
32,32,freue,80
33,33,ja,78
34,34,guter,75
35,35,gutes,74
36,36,richtig,73
37,37,neue,73
38,38,wagenknecht,73
39,39,warum,71
40,40,linke,71
41,41,mal,71
42,42,schön,69
43,43,deutschland,68
44,44,schon,67
45,45,dabei,66
46,46,cdu,65
47,47,dielinke,64
48,48,leben,62
49,49,recht,61
50,50,sicher,60
51,51,viele,59
52,52,land,58
53,53,wahl,58
54,54,arbeit,57
55,55,tolle,57
56,56,bitte,57
57,57,gerne,57
58,58,liebe,56
59,59,sollten,56
60,60,besser,55
61,61,thema,55
62,62,wer,54
63,63,frau,53
64,64,spd,53
65,65,glückwunsch,53
66,66,immer,53
67,67,ganz,52
68,68,sehen,52
69,69,gut,51
70,70,politiker,51
71,71,wirklich,50
72,72,toll,50
73,73,wahlkampf,50
74,74,gute,49
75,75,zeit,48
76,76,natürlich,47
77,77,glück,47
78,78,impfung,46
79,79,hätte,46
80,80,vielen,46
81,81,ne,46
82,82,kommt,46
83,83,dafür,46
84,84,btw,45
85,85,seit,45
86,86,zusammen,45
87,87,willkommen,45
88,88,endlich,44
89,89,herzlichen,44
90,90,innen,44
91,91,finde,44
92,92,bleiben,44
93,93,menschen,44
94,94,frage,44
95,95,parteien,43
96,96,wäre,43
97,97,lassen,42
98,98,erfolg,42
99,99,berlin,42
