,index,word,count
0,0,spd,2633
1,1,müssen,2137
2,2,dabei,1651
3,3,dafür,1333
4,4,vielleicht,1309
5,5,gute,1033
6,6,politik,1015
7,7,wäre,913
8,8,impfung,895
9,9,partei,811
10,10,tolle,795
11,11,meinung,790
12,12,menschen,753
13,13,danke,669
14,14,toll,650
15,15,beste,615
16,16,sagen,606
17,17,lauterbach,581
18,18,gerade,580
19,19,respekt,564
20,20,btw,546
21,21,cdu,541
22,22,glückwunsch,519
23,23,gibt,481
24,24,super,472
25,25,gerne,470
26,26,schon,466
27,27,ja,439
28,28,amp,437
29,29,recht,435
30,30,kanzler,430
31,31,ganz,423
32,32,ab,415
33,33,jahren,413
34,34,immer,411
35,35,kommt,403
36,36,erfolg,384
37,37,macht,380
38,38,wünsche,376
39,39,warum,374
40,40,herr,372
41,41,innen,366
42,42,frage,351
43,43,dankekarl,345
44,44,corona,342
45,45,seit,325
46,46,scholz,325
47,47,politiker,312
48,48,sehen,310
49,49,wirklich,309
50,50,schön,305
51,51,freuen,301
52,52,bitte,290
53,53,lieber,289
54,54,na,288
55,55,natürlich,286
56,56,kinder,285
57,57,finde,285
58,58,gemacht,284
59,59,pandemie,284
60,60,wer,283
61,61,karl,282
62,62,gesundheitsminister,281
63,63,herzlichen,278
64,64,zeit,274
65,65,klar,273
66,66,dank,272
67,67,endlich,270
68,68,wahl,270
69,69,echt,268
70,70,liebe,265
71,71,bleiben,264
72,72,besser,261
73,73,guten,259
74,74,neue,257
75,75,viele,255
76,76,hätte,253
77,77,freue,247
78,78,glück,243
79,79,richtig,240
80,80,geht,238
81,81,wohl,238
82,82,einfach,237
83,83,hast,237
84,84,deutschland,227
85,85,olaf,224
86,86,genau,223
87,87,solidarität,219
88,88,arbeit,217
89,89,land,214
90,90,lassen,214
91,91,sicher,212
92,92,gut,212
93,93,leben,211
94,94,frau,211
95,95,hoffe,210
96,96,mal,210
97,97,vielen,209
98,98,beim,209
99,99,guter,208
